protein_ID,Chi,PC1loadings,ASCA,rank,magloading,clust,method
CHOYP_DNAH6.2.3.m.21512,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_DNAH7.2.2.m.46648,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_DVIR_GJ23521.1.1.m.2757,NA,-0.042666918,ASCA,56,0.042666918,NA,ASCA
CHOYP_DYH1.1.1.m.46156,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_DYH2.1.1.m.28905,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_DYHC.1.3.m.10664,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_EF1A.2.4.m.50858,PropTest,0.083327183,ASCA,20,0.083327183,clustering,PropTestASCAclustering
CHOYP_EF1A2.1.3.m.30022,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_EF2.4.5.m.30186,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_EF2.5.5.m.39855,NA,-0.027402233,ASCA,127,0.027402233,NA,ASCA
CHOYP_EHI_072050.5.8.m.47580,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_ENO.1.2.m.7681,NA,0.033747063,ASCA,89,0.033747063,clustering,ASCAclustering
CHOYP_FASN.3.4.m.60278,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_FLNA.2.6.m.11845,NA,0.06431103,ASCA,32,0.06431103,NA,ASCA
CHOYP_FLNC.2.5.m.37450,NA,-0.028592588,ASCA,121,0.028592588,NA,ASCA
CHOYP_GELS2.2.2.m.30443,NA,0.042251506,ASCA,59,0.042251506,NA,ASCA
CHOYP_GIGA2.1.1.m.44916,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_GIGA6.1.1.m.38687,PropTest,0.031887935,ASCA,98,0.031887935,NA,PropTestASCA
CHOYP_HMCN1.28.44.m.47379,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_HN1L.2.2.m.9837,NA,-0.045255554,ASCA,53,0.045255554,NA,ASCA
CHOYP_HSP7D.2.3.m.34782,PropTest,0.050094863,ASCA,45,0.050094863,clustering,PropTestASCAclustering
CHOYP_HSP90AA1.1.1.m.14867,NA,0.027525889,ASCA,125,0.027525889,NA,ASCA
CHOYP_ISCW_ISCW023973.1.2.m.6506,NA,-0.026567833,ASCA,136,0.026567833,NA,ASCA
CHOYP_KARG.2.11.m.2196,NA,0.0285826,ASCA,122,0.0285826,NA,ASCA
CHOYP_KCY.1.1.m.29973,NA,0.052160248,ASCA,44,0.052160248,NA,ASCA
CHOYP_LOC100175959.4.7.m.28172,NA,-0.070844267,ASCA,27,0.070844267,NA,ASCA
CHOYP_LOC100197130.2.2.m.39076,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_LOC100367739.1.1.m.22741,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_LOC100369657.2.2.m.45309,PropTest,-0.033435221,ASCA,92,0.033435221,NA,PropTestASCA
CHOYP_LOC100369839.2.4.m.27857,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_LOC100371909.1.1.m.30745,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_LOC100372942.1.1.m.31119,NA,0.027242673,ASCA,130,0.027242673,NA,ASCA
CHOYP_LOC100374422.1.2.m.26376,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_LOC100375784.2.6.m.7640,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_LOC100375784.4.6.m.27594,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_LOC100376187.1.2.m.22540,NA,0.025512887,ASCA,139,0.025512887,NA,ASCA
CHOYP_LOC100377173.1.2.m.37698,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_LOC100377173.1.2.m.37699,PropTest,0.070200574,ASCA,29,0.070200574,NA,PropTestASCA
CHOYP_LOC100377364.1.2.m.4828,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_LOC100377364.2.2.m.52803,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_LOC100377856.2.2.m.43339,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_LOC100378255.1.1.m.63185,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_LOC100497129.3.8.m.32060,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_LOC100497129.6.8.m.41866,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_LOC100497129.7.8.m.41875,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_LOC100533294.1.3.m.35108,NA,0.034660062,ASCA,86,0.034660062,NA,ASCA
CHOYP_LOC100533447.2.3.m.44496,NA,0.035212411,ASCA,83,0.035212411,NA,ASCA
CHOYP_LOC100567114.1.1.m.39091,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_LOC100636340.1.4.m.5143,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_LOC100636493.1.1.m.65727,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_LOC100699383.1.1.m.63490,PropTest,0.082797505,ASCA,21,0.082797505,NA,PropTestASCA
CHOYP_LOC100875585.1.1.m.8714,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_LOC100888608.1.3.m.5445,NA,0.042075372,ASCA,61,0.042075372,NA,ASCA
CHOYP_LOC100893889.2.2.m.64935,NA,0.05957997,ASCA,36,0.05957997,NA,ASCA
CHOYP_LOC101072646.1.1.m.8800,PropTest,-0.037628899,ASCA,75,0.037628899,clustering,PropTestASCAclustering
CHOYP_LOC101156984.2.2.m.22956,NA,0.067638894,ASCA,30,0.067638894,NA,ASCA
CHOYP_LOC101173335.2.4.m.33982,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_LOC101242248.1.2.m.24785,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_LOC587610.3.3.m.27175,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_LOC659512.3.4.m.26463,NA,0.02933744,ASCA,113,0.02933744,NA,ASCA
CHOYP_LOC752782.1.1.m.53937,PropTest,0.210117433,ASCA,6,0.210117433,clustering,PropTestASCAclustering
CHOYP_LOC754102.1.1.m.57578,PropTest,0.324586895,ASCA,1,0.324586895,clustering,PropTestASCAclustering
CHOYP_LOC757096.1.1.m.9762,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_MATN1.3.5.m.46206,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_MBCDH18.1.1.m.34344,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_MLE.1.9.m.15462,NA,0.047814919,ASCA,50,0.047814919,NA,ASCA
CHOYP_MUC5A.1.2.m.43407,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_MYS.4.7.m.18188,NA,0.044784703,ASCA,54,0.044784703,clustering,ASCAclustering
CHOYP_MYS.7.7.m.44342,PropTest,0.040091988,ASCA,68,0.040091988,NA,PropTestASCA
CHOYP_MYSP.8.9.m.44813,NA,-0.081927389,ASCA,22,0.081927389,clustering,ASCAclustering
CHOYP_NEMVEDRAFT_V1G167853.1.2.m.20047,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_NEMVEDRAFT_V1G191841.1.1.m.1745,NA,-0.026062968,ASCA,138,0.026062968,NA,ASCA
CHOYP_NEMVEDRAFT_V1G235461.1.1.m.28341,NA,-0.026539018,ASCA,137,0.026539018,NA,ASCA
CHOYP_NEMVEDRAFT_V1G242065.1.1.m.21817,NA,0.091980663,ASCA,17,0.091980663,NA,ASCA
CHOYP_NRP.2.4.m.39720,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_PCKG.1.2.m.43785,NA,0.027886129,ASCA,124,0.027886129,NA,ASCA
CHOYP_PHUM_PHUM066670.2.3.m.42178,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_PHUM_PHUM226120.2.7.m.2274,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_PHUM_PHUM226120.3.7.m.20773,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_PHUM_PHUM226120.5.7.m.43551,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_PHUM_PHUM226120.7.7.m.54053,NA,0.029882022,ASCA,109,0.029882022,NA,ASCA
CHOYP_PIDD.1.1.m.54294,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_PPUTW619_2764.1.1.m.44946,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_RL18A.6.8.m.61646,NA,0.03467254,ASCA,85,0.03467254,NA,ASCA
CHOYP_RL24.6.9.m.43123,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_RN45S.2.5.m.14111,NA,0.048587404,ASCA,47,0.048587404,NA,ASCA
CHOYP_RS3A.4.15.m.15367,NA,0.054089989,ASCA,41,0.054089989,clustering,ASCAclustering
CHOYP_RS5.1.2.m.146,NA,NA,NA,NA,NA,clustering,clustering
CHOYP_RS9.9.13.m.44486,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_SMP_012720.1.2.m.31152,NA,0.025087487,ASCA,142,0.025087487,NA,ASCA
CHOYP_SPTCA.1.2.m.1905,NA,0.040665811,ASCA,66,0.040665811,NA,ASCA
CHOYP_SSPO.12.14.m.53188,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_TBA1.7.9.m.44107,NA,0.048417729,ASCA,48,0.048417729,NA,ASCA
CHOYP_TBA3.1.1.m.5111,NA,-0.040870492,ASCA,65,0.040870492,NA,ASCA
CHOYP_TBB4B.1.7.m.12262,PropTest,0.045295003,ASCA,52,0.045295003,clustering,PropTestASCAclustering
CHOYP_TBB4B.7.7.m.63980,PropTest,-0.093363489,ASCA,16,0.093363489,clustering,PropTestASCAclustering
CHOYP_TCPD.1.1.m.13556,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_TITIN.8.19.m.35861,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_TPM.15.19.m.50851,NA,-0.036182204,ASCA,80,0.036182204,NA,ASCA
CHOYP_TVAG_268110.13.13.m.65590,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_TVAG_355490.15.22.m.47579,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_TVAG_355490.16.22.m.50235,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_TVAG_355490.6.22.m.13410,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_TYRO.1.1.m.38876,PropTest,NA,NA,NA,NA,NA,PropTest
CHOYP_XRN2.1.1.m.13943,PropTest,NA,NA,NA,NA,NA,PropTest
