protein_ID,daytemp,Entry
CHOYP_LOC100366489.1.1.m.21907,day0_16C,A8MWY0
CHOYP_LOC100366606.1.2.m.47289,day0_16C,Q9Y238
CHOYP_LOC100366957.1.1.m.10938,day0_16C,Q9BGT1
CHOYP_LOC100367436.1.1.m.20579,day0_16C,C3YWU0
CHOYP_LOC100369421.1.2.m.17340,day0_16C,Q2TA16
CHOYP_LOC100372473.4.5.m.48798,day0_16C,Q5UQ35
CHOYP_LOC100374036.1.1.m.65939,day0_16C,Q28IV8
CHOYP_LOC100374651.1.4.m.28869,day0_16C,Q96MM6
CHOYP_LOC100374742.1.2.m.209,day0_16C,Q9D882
CHOYP_LOC100374845.1.1.m.49323,day0_16C,Q14159
CHOYP_LOC100375012.1.1.m.11931,day0_16C,Q6NXP6
CHOYP_LOC100375194.5.7.m.46447,day0_16C,Q8IYB1
CHOYP_LOC100375342.3.3.m.40363,day0_16C,Q14789
CHOYP_LOC100375784.4.6.m.27594,day0_16C,Q4G0P3
CHOYP_LOC100377381.2.2.m.49035,day0_16C,Q99PW8
CHOYP_LOC100377392.3.4.m.26363,day0_16C,Q32KL8
CHOYP_LOC100488715.1.1.m.61241,day0_16C,P0C211
CHOYP_LOC100491886.1.1.m.26703,day0_16C,P55113
CHOYP_LOC100533220.2.2.m.13991,day0_16C,Q8R526
CHOYP_LOC100548534.1.1.m.26485,day0_16C,Q01177
CHOYP_LOC100554578.1.2.m.7421,day0_16C,O15484
CHOYP_LOC100638431.10.10.m.59513,day0_16C,Q5UR67
CHOYP_LOC100647135.1.2.m.21531,day0_16C,C9D7C2
CHOYP_LOC100677972.1.1.m.12181,day0_16C,Q60738
CHOYP_LOC100709948.1.1.m.9245,day0_16C,Q5RHP9
CHOYP_LOC100892516.1.1.m.38152,day0_16C,F1MQW7
CHOYP_LOC100904558.2.2.m.26621,day0_16C,Q21NX9
CHOYP_LOC552012.1.1.m.65224,day0_16C,Q9NRF2
CHOYP_LOC577805.3.4.m.46026,day0_16C,Q96JB1
CHOYP_LOC587791.2.3.m.33887,day0_16C,Q86TZ1
CHOYP_LOC592857.1.1.m.62834,day0_16C,B2RC85
CHOYP_LOC689840.1.1.m.6512,day0_16C,Q00725
CHOYP_LOC754150.1.1.m.29730,day0_16C,Q9P0M2
CHOYP_MEGF6.1.59.m.1169,day0_16C,Q6DIB5
CHOYP_MICPUCDRAFT_54866.4.4.m.57185,day0_16C,Q25490
CHOYP_MSRB3.2.4.m.17278,day0_16C,Q8BU85
CHOYP_MUC5B.1.1.m.15734,day0_16C,Q685J3
CHOYP_NEMVEDRAFT_V1G173435.1.1.m.37344,day0_16C,Q711T7
CHOYP_NEMVEDRAFT_V1G224038.3.5.m.31061,day0_16C,P54190
CHOYP_NFRKB.1.1.m.18027,day0_16C,Q6PIJ4
CHOYP_NNRE.2.2.m.27199,day0_16C,B7QDG3
CHOYP_OSHV1_GP010.1.2.m.28853,day0_16C,Q6R7L3
CHOYP_PHUM_PHUM226120.3.7.m.20773,day0_16C,Q23551
CHOYP_PHUM_PHUM317840.2.2.m.36471,day0_16C,O60218
CHOYP_PHUM_PHUM377430.1.2.m.29459,day0_16C,Q03280
CHOYP_PTPRF.2.6.m.17540,day0_16C,P28827
CHOYP_RNF213.1.4.m.3458,day0_16C,A0A0R4IBK5
CHOYP_TIF1A.5.8.m.32570,day0_16C,Q5BIM1
CHOYP_TMEM2.2.4.m.8174,day0_16C,Q5FWI3
CHOYP_TVAG_199400.1.1.m.52426,day0_16C,Q92351
CHOYP_VIP2.1.1.m.54883,day0_16C,Q9VR59
CHOYP_WRI_006090.1.1.m.34650,day0_16C,Q8N7Z5
CHOYP_YL086.1.1.m.33481,day0_16C,Q91ZU0
CHOYP_ZC3HA.1.1.m.27569,day0_16C,Q8R205
CHOYP_ZDHHC17.1.1.m.29726,day0_16C,Q8IUH5
CHOYP_BRAFLDRAFT_118709.3.4.m.52468,day11_23C,Q8BV79
CHOYP_CLCN7.3.3.m.51894,day11_23C,O70496
CHOYP_contig_008030.m.9291,day11_23C,P56677
CHOYP_contig_013837.m.15768,day11_23C,Q18DN4
CHOYP_contig_018118.m.21239,day11_23C,P0CP46
CHOYP_contig_028566.m.32498,day11_23C,Q5BIM1
CHOYP_contig_041717.m.47768,day11_23C,Q03650
CHOYP_contig_044678.m.51771,day11_23C,Q2GGN4
CHOYP_contig_048122.m.56947,day11_23C,P13539
CHOYP_contig_050515.m.60136,day11_23C,Q08633
CHOYP_ISCW_ISCW007151.2.2.m.41979,day11_23C,Q9HCM2
CHOYP_LOC100023660.1.1.m.30865,day11_23C,Q91766
CHOYP_LOC100373888.8.9.m.60548,day11_23C,F6ZQ54
CHOYP_LOC100375838.1.1.m.39473,day11_23C,Q8K4L0
CHOYP_LOC100705265.3.3.m.40296,day11_23C,O70244
CHOYP_LOC100727159.1.1.m.60272,day11_23C,Q5SSZ7
CHOYP_LOC100934353.1.1.m.11772,day11_23C,A0RNS2
CHOYP_LRP6.1.6.m.878,day11_23C,O88572
CHOYP_NEMVEDRAFT_V1G164392.3.3.m.59979,day11_23C,P46209
CHOYP_NEMVEDRAFT_V1G198667.12.15.m.51327,day11_23C,B3EWZ5
CHOYP_NEMVEDRAFT_V1G237797.1.1.m.40688,day11_23C,Q9BW85
CHOYP_OSHV1_GP010.1.2.m.28854,day11_23C,Q6R7L5
CHOYP_PHUM_PHUM375280.1.2.m.23797,day11_23C,Q9W6Z2
CHOYP_POPTRDRAFT_1091519.1.1.m.56854,day11_23C,Q8BWF0
CHOYP_PTPRC.5.14.m.34957,day11_23C,O14522
CHOYP_RN213.7.13.m.45976,day11_23C,E9Q555
CHOYP_SC6A5.5.7.m.49357,day11_23C,Q9Y345
CHOYP_TRIADDRAFT_60787.1.1.m.6621,day11_23C,Q32N22
CHOYP_VP13D.2.3.m.58593,day11_23C,Q96GQ7
CHOYP_AAEL_AAEL010626.1.1.m.52019,day11_29C,P56719
CHOYP_ACT3.1.3.m.23292,day11_29C,P41340
CHOYP_BRAFLDRAFT_199346.1.3.m.11369,day11_29C,Q96QF0
CHOYP_BRAFLDRAFT_220356.5.6.m.38505,day11_29C,H2A0N4
CHOYP_contig_000003.m.1,day11_29C,P0CN90
CHOYP_contig_009806.m.11429,day11_29C,P08306
CHOYP_contig_014109.m.16087,day11_29C,Q80TR4
CHOYP_contig_021478.m.24670,day11_29C,Q2Z1W2
CHOYP_contig_022641.m.25871,day11_29C,Q39214
CHOYP_contig_028737.m.32661,day11_29C,Q6IMG5
CHOYP_contig_031802.m.36287,day11_29C,A4FN30
CHOYP_contig_050355.m.59899,day11_29C,A7HP26
CHOYP_CPIB.2.3.m.44557,day11_29C,Q65YR7
CHOYP_DMOJ_GI12939.1.3.m.5732,day11_29C,O75841
CHOYP_EDEM1.1.1.m.12175,day11_29C,Q925U4
CHOYP_KPYK.4.4.m.48513,day11_29C,P14618
CHOYP_LOAG_00625.1.1.m.34418,day11_29C,O73791
CHOYP_LOC100165317.1.1.m.8504,day11_29C,P27398
CHOYP_LOC100366728.1.1.m.57452,day11_29C,P18700
CHOYP_LOC100367809.2.2.m.44174,day11_29C,Q1HG43
CHOYP_LOC100369686.2.2.m.30008,day11_29C,C6A3M0
CHOYP_LOC100371503.1.1.m.62767,day11_29C,Q91W67
CHOYP_LOC100374116.1.1.m.37009,day11_29C,Q2EG98
CHOYP_LOC100375955.1.1.m.9940,day11_29C,Q5F415
CHOYP_LOC100708650.1.3.m.10354,day11_29C,Q58559
CHOYP_LOC101076145.1.1.m.26253,day11_29C,A5PMU4
CHOYP_LOC660560.1.4.m.31035,day11_29C,P35903
CHOYP_NEMVEDRAFT_V1G198667.1.15.m.3453,day11_29C,B3EWZ6
CHOYP_PHUM_PHUM226120.1.7.m.673,day11_29C,A2ASS6
CHOYP_PHUM_PHUM310360.1.1.m.21767,day11_29C,Q5R7A4
CHOYP_POMGNT1.1.1.m.33377,day11_29C,Q5XIN7
CHOYP_SLX4.1.1.m.278,day11_29C,Q8IY92
CHOYP_TMEM2.4.4.m.28440,day11_29C,A3KPQ7
CHOYP_TRNT1.1.1.m.1512,day11_29C,Q8K1J6
CHOYP_TSP_10783.1.2.m.5651,day11_29C,Q02858
CHOYP_TVAG_355490.3.22.m.9919,day11_29C,P12844
CHOYP_Y071.1.1.m.29248,day11_29C,Q6R7F6
CHOYP_ACT.13.27.m.39351,day13_23C,Q5F363
CHOYP_BRAFLDRAFT_129108.1.2.m.2456,day13_23C,A6QLI0
CHOYP_BRAFLDRAFT_208197.18.21.m.59194,day13_23C,Q96MM6
CHOYP_BRAFLDRAFT_91870.3.3.m.62762,day13_23C,P17178
CHOYP_contig_005454.m.6186,day13_23C,Q9QY36
CHOYP_contig_014863.m.17135,day13_23C,Q9JKF6
CHOYP_contig_018978.m.22243,day13_23C,Q97X60
CHOYP_contig_022826.m.26063,day13_23C,Q54QW1
CHOYP_contig_023399.m.26635,day13_23C,Q1L6U9
CHOYP_contig_024046.m.27342,day13_23C,P07087
CHOYP_contig_029139.m.33073,day13_23C,Q9ESN6
CHOYP_contig_038126.m.43051,day13_23C,Q7NH81
CHOYP_contig_039595.m.44817,day13_23C,P38505
CHOYP_contig_041380.m.47215,day13_23C,P41110
CHOYP_DMOJ_GI12939.2.3.m.20888,day13_23C,Q9XVM9
CHOYP_LOC100030710.4.4.m.20819,day13_23C,A0A0R4IBK5
CHOYP_LOC100120260.1.1.m.41887,day13_23C,O07596
CHOYP_LOC100372020.1.1.m.59998,day13_23C,Q8BVV7
CHOYP_LOC100697793.5.6.m.62286,day13_23C,Q895K2
CHOYP_LOC101076790.1.1.m.45316,day13_23C,Q6Q4G4
CHOYP_MPEG1.4.5.m.49975,day13_23C,Q2KJC3
CHOYP_PDE11.1.3.m.8788,day13_23C,Q9VJ79
CHOYP_PHUM_PHUM226120.2.7.m.2274,day13_23C,Q23551
CHOYP_PMS2.1.1.m.16450,day13_23C,P54278
CHOYP_RL23A.6.6.m.63333,day13_23C,P62752
CHOYP_RS3A.14.15.m.57763,day13_23C,P49395
CHOYP_SRC2.1.1.m.6537,day13_23C,Q9V9J3
CHOYP_SYCC.1.1.m.11415,day13_23C,Q9ER72
CHOYP_TBB2.2.2.m.53001,day13_23C,P41937
CHOYP_TONSL.1.1.m.18360,day13_23C,Q8TAQ2
CHOYP_TTHERM_00599920.1.1.m.38926,day13_23C,P86958
CHOYP_AAEL_AAEL013229.2.2.m.57593,day13_29C,Q2TWN8
CHOYP_APBP2.1.1.m.62244,day13_29C,A5HK05
CHOYP_ATS20.2.2.m.52571,day13_29C,O15072
CHOYP_BRAFLDRAFT_100614.1.1.m.31700,day13_29C,Q92636
CHOYP_BRAFLDRAFT_117187.2.4.m.3553,day13_29C,F6ZQ54
CHOYP_BRAFLDRAFT_122922.1.1.m.17746,day13_29C,Q9UHB4
CHOYP_BRAFLDRAFT_268308.1.1.m.17043,day13_29C,P00378
CHOYP_BRAFLDRAFT_67741.2.2.m.37743,day13_29C,Q9P2N4
CHOYP_BRAFLDRAFT_85994.7.10.m.36866,day13_29C,B2KWH6
CHOYP_BRAFLDRAFT_91321.1.10.m.20278,day13_29C,P18826
CHOYP_BRAFLDRAFT_99539.1.1.m.55866,day13_29C,A7TJI3
CHOYP_CHI1.1.1.m.40259,day13_29C,H2A0L4
CHOYP_CLCN7.2.3.m.47039,day13_29C,O70496
CHOYP_contig_004925.m.5642,day13_29C,Q4WYF1
CHOYP_contig_008101.m.9378,day13_29C,A8R7E6
CHOYP_contig_008102.m.9380,day13_29C,A8R7E6
CHOYP_contig_015931.m.18654,day13_29C,Q60FC6
CHOYP_contig_021664.m.24884,day13_29C,Q13439
CHOYP_contig_031433.m.35919,day13_29C,Q9R024
CHOYP_contig_031486.m.35972,day13_29C,A3DC27
CHOYP_contig_034345.m.39015,day13_29C,Q9ESN6
CHOYP_contig_034987.m.39710,day13_29C,Q9ZVI1
CHOYP_contig_042616.m.49103,day13_29C,P46865
CHOYP_contig_043212.m.49892,day13_29C,Q10225
CHOYP_CPIPJ_CPIJ011346.2.2.m.44999,day13_29C,Q9JJS0
CHOYP_DFA_00978.1.1.m.17875,day13_29C,P22105
CHOYP_DNAJB6B.1.2.m.1265,day13_29C,O35723
CHOYP_GCP2.1.1.m.23103,day13_29C,Q921G8
CHOYP_LOC100122904.1.1.m.45984,day13_29C,Q3TLI0
CHOYP_LOC100158931.1.1.m.8283,day13_29C,Q5RDQ2
CHOYP_LOC100166052.1.1.m.46867,day13_29C,A2AAE1
CHOYP_LOC100176799.1.1.m.3132,day13_29C,Q60HE9
CHOYP_LOC100366763.1.1.m.53709,day13_29C,Q9QXZ0
CHOYP_LOC100371429.1.1.m.13499,day13_29C,P09849
CHOYP_LOC100373892.1.2.m.44404,day13_29C,Q9CZC8
CHOYP_LOC100375232.1.2.m.2686,day13_29C,Q9Y2F9
CHOYP_LOC100378295.1.4.m.3278,day13_29C,P22897
CHOYP_LOC100378848.1.1.m.29949,day13_29C,Q96JC1
CHOYP_LOC100462678.2.2.m.28619,day13_29C,Q80Z71
CHOYP_LOC100577801.1.1.m.7007,day13_29C,Q9VPQ6
CHOYP_LOC100749745.1.1.m.11523,day13_29C,P48545
CHOYP_LOC100893981.1.1.m.56774,day13_29C,B0JZV4
CHOYP_LOC101060411.1.1.m.54761,day13_29C,Q9WVL2
CHOYP_LOC101064472.1.1.m.66819,day13_29C,P13944
CHOYP_LOC101162528.1.1.m.17841,day13_29C,Q5ZJL9
CHOYP_LOC101242430.1.2.m.23519,day13_29C,O75095
CHOYP_LOC575793.1.2.m.34691,day13_29C,P47609
CHOYP_LOC575944.1.5.m.22547,day13_29C,Q6DIB5
CHOYP_LOC581452.2.4.m.25348,day13_29C,Q20191
CHOYP_LOC583253.1.1.m.11773,day13_29C,A9ZSZ2
CHOYP_LOC763960.1.2.m.17062,day13_29C,Q5JR59
CHOYP_MA2C1.1.1.m.46709,day13_29C,Q91W89
CHOYP_MANBA.2.2.m.47433,day13_29C,O00462
CHOYP_N2F1A.1.1.m.63063,day13_29C,Q06725
CHOYP_PE2R3.2.2.m.61863,day13_29C,O75382
CHOYP_PEAR1.6.16.m.37314,day13_29C,P59222
CHOYP_PHUM_PHUM370970.1.2.m.40102,day13_29C,P49746
CHOYP_PHUM_PHUM465390.1.1.m.21142,day13_29C,P98166
CHOYP_PTPRA.9.22.m.46547,day13_29C,Q8BRK9
CHOYP_S4A8.1.1.m.28334,day13_29C,Q80ZA5
CHOYP_SPCA.1.1.m.6746,day13_29C,P98194
CHOYP_SREC2.7.9.m.44662,day13_29C,O73791
CHOYP_TENA.5.5.m.43448,day13_29C,Q2U5P1
CHOYP_TRI45.13.23.m.35793,day13_29C,Q80VI1
CHOYP_TSP_07884.1.1.m.41175,day13_29C,Q96KE9
CHOYP_USO1.11.11.m.64787,day13_29C,P55937
CHOYP_ZNF510.1.1.m.10853,day13_29C,Q1H9T6
CHOYP_AAEL_AAEL009169.1.1.m.24699,day3_23C,Q3TZZ7
CHOYP_ABCA3.2.6.m.4295,day3_23C,Q99758
CHOYP_ACE.4.4.m.17563,day3_23C,P09470
CHOYP_ACT.5.27.m.15585,day3_23C,Q26065
CHOYP_AGAP_AGAP007681.1.1.m.36727,day3_23C,P55040
CHOYP_BIR7B.2.2.m.60973,day3_23C,P41436
CHOYP_BRAFLDRAFT_118819.1.2.m.29565,day3_23C,O75460
CHOYP_BRAFLDRAFT_119209.1.1.m.4850,day3_23C,Q5F3L3
CHOYP_BRAFLDRAFT_119774.4.4.m.33349,day3_23C,Q80ZA4
CHOYP_BRAFLDRAFT_125104.1.1.m.31139,day3_23C,P51909
CHOYP_BRAFLDRAFT_126856.1.3.m.24519,day3_23C,P38552
CHOYP_BRAFLDRAFT_129967.1.4.m.4020,day3_23C,B3EWY9
CHOYP_BRAFLDRAFT_247007.1.1.m.15096,day3_23C,O14618
CHOYP_BRAFLDRAFT_67696.3.3.m.54584,day3_23C,P18503
CHOYP_BRAFLDRAFT_75707.1.1.m.8533,day3_23C,Q7Z5J8
CHOYP_CAN5.1.1.m.42242,day3_23C,O15484
CHOYP_CARNS1.4.6.m.40244,day3_23C,A5YM72
CHOYP_CASP7.21.23.m.63852,day3_23C,P97864
CHOYP_contig_005908.m.6759,day3_23C,Q5GM68
CHOYP_contig_008923.m.10388,day3_23C,P78575
CHOYP_contig_012819.m.14744,day3_23C,P05947
CHOYP_contig_024424.m.27774,day3_23C,Q8WZ42
CHOYP_contig_026676.m.30376,day3_23C,P12916
CHOYP_contig_030819.m.35130,day3_23C,Q9D1Y9
CHOYP_contig_031003.m.35364,day3_23C,Q8VWF6
CHOYP_contig_038817.m.43926,day3_23C,A7SFB5
CHOYP_contig_042130.m.48414,day3_23C,A4XVL7
CHOYP_contig_042362.m.48774,day3_23C,Q55G97
CHOYP_contig_047685.m.56291,day3_23C,Q9ET54
CHOYP_contig_048369.m.57273,day3_23C,B9E8I3
CHOYP_contig_054223.m.64734,day3_23C,Q13049
CHOYP_contig_055359.m.66029,day3_23C,Q3MHN7
CHOYP_CPIPJ_CPIJ003599.1.1.m.61267,day3_23C,Q9NRH2
CHOYP_ENPEP.1.1.m.12765,day3_23C,P50123
CHOYP_FREM2.1.1.m.31430,day3_23C,Q9GV77
CHOYP_GR101.3.3.m.43507,day3_23C,P46023
CHOYP_GRDN.1.5.m.12675,day3_23C,Q3V6T2
CHOYP_HMCN1.39.44.m.61047,day3_23C,Q8WZ42
CHOYP_LOC100185473.1.1.m.5316,day3_23C,Q8BYU6
CHOYP_LOC100371374.1.1.m.46502,day3_23C,B0SJT4
CHOYP_LOC100373327.1.13.m.13252,day3_23C,E9PYK3
CHOYP_LOC100552730.1.1.m.18699,day3_23C,O35375
CHOYP_LOC100700188.1.1.m.30931,day3_23C,A7X4K1
CHOYP_LOC100740873.1.1.m.46472,day3_23C,Q14517
CHOYP_LOC589839.1.1.m.29309,day3_23C,Q5XX13
CHOYP_MED7.1.1.m.48813,day3_23C,Q7PR68
CHOYP_MPPA.2.2.m.18273,day3_23C,Q5GH57
CHOYP_PHUM_PHUM169900.2.2.m.61606,day3_23C,Q8C033
CHOYP_PHUM_PHUM378040.1.1.m.15341,day3_23C,Q9Y5B0
CHOYP_PPIL2.1.1.m.55184,day3_23C,Q9D787
CHOYP_PTPRA.19.22.m.59233,day3_23C,P18433
CHOYP_RN213.7.13.m.45975,day3_23C,A0A0R4IBK5
CHOYP_RS7.5.9.m.38700,day3_23C,Q969G6
CHOYP_TBB4.1.1.m.40048,day3_23C,P11833
CHOYP_TRM5.1.1.m.24347,day3_23C,Q3MHN8
CHOYP_UBE2Z.1.1.m.61760,day3_23C,Q66KB0
CHOYP_BRAFLDRAFT_118054.1.1.m.18488,day3_29C,Q888A4
CHOYP_BRAFLDRAFT_119424.1.1.m.15350,day3_29C,Q6DJK9
CHOYP_BRAFLDRAFT_72541.1.2.m.13652,day3_29C,Q5ZL00
CHOYP_contig_027703.m.31406,day3_29C,O15943
CHOYP_contig_037561.m.42354,day3_29C,O43022
CHOYP_contig_041336.m.47149,day3_29C,Q91VN0
CHOYP_contig_044310.m.51269,day3_29C,Q86JI5
CHOYP_contig_047333.m.55799,day3_29C,B5X0N6
CHOYP_contig_047907.m.56621,day3_29C,Q8BSU2
CHOYP_KARG.9.11.m.50527,day3_29C,O15990
CHOYP_LECG.3.4.m.29627,day3_29C,Q66S03
CHOYP_LOC100121991.1.1.m.13778,day3_29C,Q9NG98
CHOYP_LOC100373898.1.1.m.24900,day3_29C,Q86VH2
CHOYP_LOC100727208.1.1.m.9365,day3_29C,Q5U2Z0
CHOYP_LOC100879487.1.3.m.20887,day3_29C,P0C6B8
CHOYP_LOC584416.1.1.m.34286,day3_29C,Q93MD2
CHOYP_PCX1.1.1.m.55309,day3_29C,Q96RV3
CHOYP_PHUM_PHUM562900.1.1.m.43674,day3_29C,Q8QFV0
CHOYP_PRIM.1.1.m.30784,day3_29C,Q6R7L6
CHOYP_PTPRE.7.19.m.34309,day3_29C,P18433
CHOYP_PTPRK.10.20.m.31769,day3_29C,Q99M80
CHOYP_UTP20.2.4.m.1508,day3_29C,O75691
CHOYP_AGAP_AGAP006810.1.2.m.12514,day5_23C,Q68ER9
CHOYP_BRAFLDRAFT_161161.1.1.m.39447,day5_23C,O70277
CHOYP_BRAFLDRAFT_67911.1.1.m.4174,day5_23C,Q8L970
CHOYP_CNDP2.1.4.m.11722,day5_23C,Q96KP4
CHOYP_contig_039097.m.44266,day5_23C,Q7ZVJ8
CHOYP_DRPR.1.2.m.58255,day5_23C,Q9W0A0
CHOYP_ISCW_ISCW013556.1.1.m.26406,day5_23C,Q7T0M6
CHOYP_LOC100183583.1.2.m.3863,day5_23C,Q9BXW7
CHOYP_LOC100199505.2.2.m.25542,day5_23C,P98088
CHOYP_LOC100367880.1.1.m.12770,day5_23C,Q9BXW4
CHOYP_LOC100371830.5.6.m.55811,day5_23C,O73853
CHOYP_LOC100372698.1.1.m.18674,day5_23C,Q8BTK5
CHOYP_LOC100373083.1.2.m.19986,day5_23C,Q99758
CHOYP_LOC100373100.3.4.m.51137,day5_23C,Q9P2E3
CHOYP_LOC100377001.2.2.m.52324,day5_23C,Q9Z2G9
CHOYP_LOC100723342.1.1.m.58414,day5_23C,Q9UHB7
CHOYP_LOC100892150.1.1.m.10319,day5_23C,A9CPT4
CHOYP_LOC101065647.2.2.m.10863,day5_23C,Q5SZD4
CHOYP_LOC589390.1.1.m.11589,day5_23C,Q8P8Z6
CHOYP_LOC657327.1.1.m.54811,day5_23C,M9NDE3
CHOYP_OSGI2.1.1.m.11055,day5_23C,Q9Y236
CHOYP_PEAR1.10.16.m.42850,day5_23C,O75095
CHOYP_PHUM_PHUM135440.1.1.m.40573,day5_23C,Q8IS64
CHOYP_PKH_082300.1.1.m.29388,day5_23C,Q29W20
CHOYP_RNZ1.1.1.m.29553,day5_23C,Q9H777
CHOYP_SMP_005500.1.1.m.34627,day5_23C,Q95ZJ1
CHOYP_TBB4B.3.7.m.22777,day5_23C,P43006
CHOYP_TTL11.1.1.m.51011,day5_23C,Q6DIB5
CHOYP_TVAG_313830.1.4.m.32667,day5_23C,Q9VCA8
CHOYP_AMO.1.5.m.28337,day5_29C,H2A0M3
CHOYP_APN.1.3.m.316,day5_29C,O57579
CHOYP_BRAFLDRAFT_120767.1.1.m.16005,day5_29C,Q8K1J5
CHOYP_BRAFLDRAFT_74063.2.5.m.9454,day5_29C,Q9IBG7
CHOYP_BRAFLDRAFT_75094.1.2.m.24898,day5_29C,Q7Z7G8
CHOYP_BRAFLDRAFT_87634.1.1.m.39992,day5_29C,S3D9F1
CHOYP_BRAFLDRAFT_90679.1.1.m.33411,day5_29C,O18783
CHOYP_CAOG_05733.1.2.m.29878,day5_29C,P24014
CHOYP_contig_000121.m.127,day5_29C,Q9PPL4
CHOYP_contig_004202.m.4814,day5_29C,Q60553
CHOYP_contig_044795.m.51952,day5_29C,Q65RR6
CHOYP_COX5B.1.3.m.20245,day5_29C,Q710D6
CHOYP_DPOLZ.1.1.m.49299,day5_29C,Q61493
CHOYP_LOC100121969.1.1.m.52130,day5_29C,Q5RAY1
CHOYP_LOC100329955.1.1.m.11340,day5_29C,Q0V5K1
CHOYP_LOC100368521.3.3.m.41435,day5_29C,Q28902
CHOYP_LOC100378116.1.3.m.22707,day5_29C,Q5BIM1
CHOYP_LOC100491753.1.3.m.45589,day5_29C,P22105
CHOYP_LOC578280.1.1.m.42277,day5_29C,O95490
CHOYP_LOC579946.20.24.m.55163,day5_29C,Q9W0A0
CHOYP_LOC586044.1.1.m.60359,day5_29C,B2RU80
CHOYP_LOC753709.10.44.m.22246,day5_29C,Q8IWZ3
CHOYP_MTBP.1.1.m.17026,day5_29C,Q6NRW0
CHOYP_NU188.2.2.m.51343,day5_29C,Q5SRE5
CHOYP_PARP8.1.1.m.55346,day5_29C,Q8N3A8
CHOYP_PHUM_PHUM427190.1.1.m.57126,day5_29C,P20273
CHOYP_PI4KB.1.1.m.8669,day5_29C,B1MTG7
CHOYP_PTPRA.2.22.m.3118,day5_29C,Q99M80
CHOYP_TBA1.7.9.m.44107,day5_29C,P06603
CHOYP_TDRD3.2.2.m.8522,day5_29C,B2GB76
