Var1	Var2	semsimValue	type
GTPase activity	nuclease activity	0.602789786150623	term-term
peptidase activity	nuclease activity	0.602789786150623	term-term
GTPase activity	hydrolase activity, acting on glyco...	0.602789786150623	term-term
peptidase activity	hydrolase activity, acting on glyco...	0.602789786150623	term-term
nuclease activity	hydrolase activity, acting on glyco...	0.602789786150623	term-term
transferase activity, transferring ...	transferase activity, transferring ...	0.643208149110177	term-term
kinase activity	transferase activity, transferring ...	0.643208149110177	term-term
nucleotidyltransferase activity	transferase activity, transferring ...	0.643208149110177	term-term
GTPase activity	ATPase activity	0.846338113710136	term-term
peptidase activity	ATPase activity	0.602789786150623	term-term
nuclease activity	ATPase activity	0.602789786150623	term-term
hydrolase activity, acting on glyco...	ATPase activity	0.602789786150623	term-term
cellular nitrogen compound metaboli...	small molecule metabolic process	0.513291821528632	term-term
lipid metabolic process	small molecule metabolic process	0.750324355302799	term-term
cellular protein modification proce...	carbohydrate metabolic process	0.512903344880974	term-term
nucleobase-containing compound cata...	carbohydrate metabolic process	0.512903344880974	term-term
mRNA processing	carbohydrate metabolic process	0.512903344880974	term-term
DNA metabolic process	carbohydrate metabolic process	0.512903344880974	term-term
lipid metabolic process	carbohydrate metabolic process	0.512903344880974	term-term
translation	carbohydrate metabolic process	0.512903344880974	term-term
cellular nitrogen compound metaboli...	generation of precursor metabolites...	0.584502367106269	term-term
cellular nitrogen compound metaboli...	cofactor metabolic process	0.584502367106269	term-term
cellular protein modification proce...	cellular amino acid metabolic proce...	0.512903344880974	term-term
nucleobase-containing compound cata...	cellular amino acid metabolic proce...	0.568616547191494	term-term
cellular nitrogen compound metaboli...	cellular amino acid metabolic proce...	0.709533529730215	term-term
mRNA processing	cellular amino acid metabolic proce...	0.568616547191494	term-term
DNA metabolic process	cellular amino acid metabolic proce...	0.568616547191494	term-term
lipid metabolic process	cellular amino acid metabolic proce...	0.692676227420271	term-term
translation	cellular amino acid metabolic proce...	0.846338113710136	term-term
small molecule metabolic process	cellular amino acid metabolic proce...	0.916774785100933	term-term
carbohydrate metabolic process	cellular amino acid metabolic proce...	0.512903344880974	term-term
cellular protein modification proce...	tRNA metabolic process	0.643208149110177	term-term
nucleobase-containing compound cata...	tRNA metabolic process	0.692676227420271	term-term
cellular nitrogen compound metaboli...	tRNA metabolic process	0.75217572679737	term-term
mRNA processing	tRNA metabolic process	0.846338113710136	term-term
DNA metabolic process	tRNA metabolic process	0.756451672440487	term-term
lipid metabolic process	tRNA metabolic process	0.512903344880974	term-term
translation	tRNA metabolic process	0.643208149110177	term-term
carbohydrate metabolic process	tRNA metabolic process	0.512903344880974	term-term
cellular amino acid metabolic proce...	tRNA metabolic process	0.568616547191494	term-term
nucleocytoplasmic transport	protein targeting	0.756451672440487	term-term
transport	protein targeting	0.724991137202479	term-term
vesicle-mediated transport	protein targeting	0.568616547191494	term-term
ribonucleoprotein complex assembly	membrane organization	0.507401335119634	term-term
protein-containing complex assembly	membrane organization	0.553463449656036	term-term
cellular component assembly	membrane organization	0.584502367106269	term-term
cytoskeleton organization	membrane organization	0.507401335119634	term-term
cell morphogenesis	membrane organization	0.507401335119634	term-term
cellular nitrogen compound metaboli...	sulfur compound metabolic process	0.584502367106269	term-term
protein-containing complex assembly	plasma membrane organization	0.507401335119634	term-term
cellular component assembly	plasma membrane organization	0.533367606224607	term-term
membrane organization	plasma membrane organization	0.916774785100933	term-term
nucleocytoplasmic transport	vacuolar transport	0.568616547191494	term-term
transport	vacuolar transport	0.724991137202479	term-term
vesicle-mediated transport	vacuolar transport	0.568616547191494	term-term
protein targeting	vacuolar transport	0.568616547191494	term-term
protein-containing complex assembly	cell junction organization	0.507401335119634	term-term
cellular component assembly	cell junction organization	0.533367606224607	term-term
membrane organization	cell junction organization	0.507401335119634	term-term
protein-containing complex assembly	chromosome organization	0.507401335119634	term-term
cellular component assembly	chromosome organization	0.533367606224607	term-term
cytoskeleton organization	chromosome organization	0.756451672440487	term-term
membrane organization	chromosome organization	0.507401335119634	term-term
anatomical structure development	developmental maturation	0.615939781526671	term-term
anatomical structure formation invo...	developmental maturation	0.568616547191494	term-term
embryo development	developmental maturation	0.643208149110177	term-term
cell differentiation	developmental maturation	0.643208149110177	term-term
cell morphogenesis	developmental maturation	0.643208149110177	term-term
anatomical structure development	aging	0.615939781526671	term-term
anatomical structure formation invo...	aging	0.568616547191494	term-term
embryo development	aging	0.643208149110177	term-term
cell differentiation	aging	0.643208149110177	term-term
cell morphogenesis	aging	0.643208149110177	term-term
developmental maturation	aging	0.643208149110177	term-term
embryo development	nervous system process	0.756451672440487	term-term
nucleocytoplasmic transport	cytoskeleton-dependent intracellula...	0.756451672440487	term-term
transport	cytoskeleton-dependent intracellula...	0.724991137202479	term-term
vesicle-mediated transport	cytoskeleton-dependent intracellula...	0.568616547191494	term-term
protein targeting	cytoskeleton-dependent intracellula...	0.756451672440487	term-term
vacuolar transport	cytoskeleton-dependent intracellula...	0.568616547191494	term-term
enzyme binding	transcription factor binding	0.643208149110177	term-term
RNA binding	transcription factor binding	0.53067195318889	term-term
cytoskeletal protein binding	transcription factor binding	0.643208149110177	term-term
transferase activity, transferring ...	methyltransferase activity	0.643208149110177	term-term
kinase activity	methyltransferase activity	0.643208149110177	term-term
nucleotidyltransferase activity	methyltransferase activity	0.643208149110177	term-term
transferase activity, transferring ...	methyltransferase activity	0.643208149110177	term-term
nucleocytoplasmic transport	transmembrane transport	0.568616547191494	term-term
transport	transmembrane transport	0.724991137202479	term-term
vesicle-mediated transport	transmembrane transport	0.568616547191494	term-term
protein targeting	transmembrane transport	0.568616547191494	term-term
vacuolar transport	transmembrane transport	0.568616547191494	term-term
cytoskeleton-dependent intracellula...	transmembrane transport	0.568616547191494	term-term
locomotion	cell motility	0.916774785100933	term-term
GTPase activity	hydrolase activity, acting on carbo...	0.602789786150623	term-term
peptidase activity	hydrolase activity, acting on carbo...	0.602789786150623	term-term
nuclease activity	hydrolase activity, acting on carbo...	0.602789786150623	term-term
hydrolase activity, acting on glyco...	hydrolase activity, acting on carbo...	0.602789786150623	term-term
ATPase activity	hydrolase activity, acting on carbo...	0.602789786150623	term-term
protein-containing complex assembly	extracellular matrix organization	0.507401335119634	term-term
cellular component assembly	extracellular matrix organization	0.533367606224607	term-term
membrane organization	extracellular matrix organization	0.507401335119634	term-term
lipid metabolic process	secondary metabolic process	0.692676227420271	term-term
small molecule metabolic process	secondary metabolic process	0.750324355302799	term-term
cellular amino acid metabolic proce...	secondary metabolic process	0.692676227420271	term-term
embryo development	circulatory system process	0.756451672440487	term-term
nervous system process	circulatory system process	0.846338113710136	term-term
enzyme binding	histone binding	0.643208149110177	term-term
RNA binding	histone binding	0.53067195318889	term-term
cytoskeletal protein binding	histone binding	0.643208149110177	term-term
transcription factor binding	histone binding	0.643208149110177	term-term
enzyme binding	unfolded protein binding	0.643208149110177	term-term
RNA binding	unfolded protein binding	0.53067195318889	term-term
cytoskeletal protein binding	unfolded protein binding	0.643208149110177	term-term
transcription factor binding	unfolded protein binding	0.643208149110177	term-term
histone binding	unfolded protein binding	0.643208149110177	term-term
protein-containing complex assembly	mitochondrion organization	0.507401335119634	term-term
cellular component assembly	mitochondrion organization	0.533367606224607	term-term
cytoskeleton organization	mitochondrion organization	0.756451672440487	term-term
membrane organization	mitochondrion organization	0.507401335119634	term-term
chromosome organization	mitochondrion organization	0.756451672440487	term-term
RL3	ribonucleoprotein complex assembly	NA	protein-term
RL3	protein-containing complex assembly	NA	protein-term
RL3	cellular component assembly	NA	protein-term
RS5	protein-containing complex assembly	NA	protein-term
RS5	cellular component assembly	NA	protein-term
RS5	ribonucleoprotein complex assembly	NA	protein-term
ABCE1	nucleocytoplasmic transport	NA	protein-term
ABCE1	transport	NA	protein-term
SPTN5	signal transduction	NA	protein-term
SPTN5	cellular protein modification proce...	NA	protein-term
RS5	nucleobase-containing compound cata...	NA	protein-term
RS5	catabolic process	NA	protein-term
RS5	cellular nitrogen compound metaboli...	NA	protein-term
RL18A	nucleobase-containing compound cata...	NA	protein-term
RL18A	catabolic process	NA	protein-term
RL18A	cellular nitrogen compound metaboli...	NA	protein-term
TPP2	cellular protein modification proce...	NA	protein-term
TBA3.1.1.m.5111	cytoskeleton organization	NA	protein-term
TBB.1.1.m.57452	cytoskeleton organization	NA	protein-term
TBB4	cytoskeleton organization	NA	protein-term
TBA3.2.9.m.9962	cytoskeleton organization	NA	protein-term
TBA1	cytoskeleton organization	NA	protein-term
TBA1A	cytoskeleton organization	NA	protein-term
PRP19	ribonucleoprotein complex assembly	NA	protein-term
PRP19	cellular component assembly	NA	protein-term
PRP19	protein-containing complex assembly	NA	protein-term
TBB4	mitotic cell cycle	NA	protein-term
TBB4	cell cycle	NA	protein-term
TBA3.1.1.m.5111	mitotic cell cycle	NA	protein-term
TBA3.1.1.m.5111	cell cycle	NA	protein-term
TBB.1.1.m.57452	mitotic cell cycle	NA	protein-term
TBB.1.1.m.57452	cell cycle	NA	protein-term
FLNA.2.6.m.11845	mitotic cell cycle	NA	protein-term
FLNA.2.6.m.11845	cell cycle	NA	protein-term
TBA1	mitotic cell cycle	NA	protein-term
TBA1	cell cycle	NA	protein-term
TBA3.2.9.m.9962	mitotic cell cycle	NA	protein-term
TBA3.2.9.m.9962	cell cycle	NA	protein-term
TBA1A	mitotic cell cycle	NA	protein-term
TBA1A	cell cycle	NA	protein-term
IDHP	ion binding	NA	protein-term
ENO	ion binding	NA	protein-term
KS6A3	ion binding	NA	protein-term
PAN2	catabolic process	NA	protein-term
PAN2	cellular nitrogen compound metaboli...	NA	protein-term
PAN2	nucleobase-containing compound cata...	NA	protein-term
SODC	response to stress	NA	protein-term
U5S1	mRNA processing	NA	protein-term
U5S1	cellular nitrogen compound metaboli...	NA	protein-term
PRP19	mRNA processing	NA	protein-term
PRP19	cellular nitrogen compound metaboli...	NA	protein-term
PPIB	cellular protein modification proce...	NA	protein-term
XRN2	DNA metabolic process	NA	protein-term
XRN2	catabolic process	NA	protein-term
XRN2	cellular nitrogen compound metaboli...	NA	protein-term
XRN2	nucleobase-containing compound cata...	NA	protein-term
PDC6I	cellular component assembly	NA	protein-term
PDC6I	cytoskeleton organization	NA	protein-term
XRN2	DNA binding	NA	protein-term
KS6A3	anatomical structure development	NA	protein-term
PGBM	lipid metabolic process	NA	protein-term
PGBM	anatomical structure formation invo...	NA	protein-term
DMBT1	lipid binding	NA	protein-term
SODC	anatomical structure development	NA	protein-term
TITIN.8.19.m.35861	embryo development	NA	protein-term
TITIN.8.19.m.35861	anatomical structure development	NA	protein-term
PLOD3	embryo development	NA	protein-term
PLOD3	anatomical structure development	NA	protein-term
EIF3D	cellular component assembly	NA	protein-term
EIF3D	ribonucleoprotein complex assembly	NA	protein-term
EIF3D	protein-containing complex assembly	NA	protein-term
TITIN.8.19.m.35861	anatomical structure formation invo...	NA	protein-term
TLN1	lipid binding	NA	protein-term
FAT4.1.1.m.34344	anatomical structure development	NA	protein-term
FAT4.1.1.m.65727	anatomical structure development	NA	protein-term
PRP19	cell proliferation	NA	protein-term
ROAA	cell differentiation	NA	protein-term
PLOD3	cell morphogenesis	NA	protein-term
SODC	homeostatic process	NA	protein-term
TITIN.m.27774	enzyme binding	NA	protein-term
TITIN.8.19.m.35861	enzyme binding	NA	protein-term
HYDIN.2.6.m.7640	anatomical structure development	NA	protein-term
HYDIN.4.6.m.27594	anatomical structure development	NA	protein-term
RS26	cellular nitrogen compound metaboli...	NA	protein-term
RS26	biosynthetic process	NA	protein-term
RS26	translation	NA	protein-term
RL18A	biosynthetic process	NA	protein-term
RL18A	translation	NA	protein-term
KS6A3	immune system process	NA	protein-term
KS6A3	signal transduction	NA	protein-term
SODC	immune system process	NA	protein-term
ITIH4.1.1.m.39811	vesicle-mediated transport	NA	protein-term
ITIH4.1.1.m.39811	transport	NA	protein-term
TITIN.m.27774	vesicle-mediated transport	NA	protein-term
TITIN.m.27774	transport	NA	protein-term
FLNA.3.5.m.38669	vesicle-mediated transport	NA	protein-term
FLNA.3.5.m.38669	transport	NA	protein-term
FLNA.2.5.m.37450	vesicle-mediated transport	NA	protein-term
FLNA.2.5.m.37450	transport	NA	protein-term
TLN1	vesicle-mediated transport	NA	protein-term
TLN1	transport	NA	protein-term
CO6A3	cell morphogenesis	NA	protein-term
MATN1	cell morphogenesis	NA	protein-term
PAN2	DNA binding	NA	protein-term
PAN2	RNA binding	NA	protein-term
PDCD5	DNA binding	NA	protein-term
HEXP	DNA binding	NA	protein-term
ZFR	DNA binding	NA	protein-term
DMBT1	DNA binding	NA	protein-term
H2B7	DNA binding	NA	protein-term
FAS	DNA binding	NA	protein-term
ZFR	rRNA binding	NA	protein-term
ZFR	translation factor activity, RNA bi...	NA	protein-term
ZFR	RNA binding	NA	protein-term
FLNA.2.5.m.37450	rRNA binding	NA	protein-term
FLNA.2.5.m.37450	translation factor activity, RNA bi...	NA	protein-term
FLNA.2.5.m.37450	RNA binding	NA	protein-term
FLNA.3.5.m.38669	rRNA binding	NA	protein-term
FLNA.3.5.m.38669	translation factor activity, RNA bi...	NA	protein-term
FLNA.3.5.m.38669	RNA binding	NA	protein-term
SYNE1.1.2.m.37063	rRNA binding	NA	protein-term
SYNE1.1.2.m.37063	translation factor activity, RNA bi...	NA	protein-term
SYNE1.1.2.m.37063	RNA binding	NA	protein-term
SYNE1.2.2.m.54514	rRNA binding	NA	protein-term
SYNE1.2.2.m.54514	translation factor activity, RNA bi...	NA	protein-term
SYNE1.2.2.m.54514	RNA binding	NA	protein-term
U5S1	rRNA binding	NA	protein-term
U5S1	translation factor activity, RNA bi...	NA	protein-term
U5S1	RNA binding	NA	protein-term
VIGLN	rRNA binding	NA	protein-term
VIGLN	translation factor activity, RNA bi...	NA	protein-term
VIGLN	RNA binding	NA	protein-term
EIF3D	rRNA binding	NA	protein-term
EIF3D	translation factor activity, RNA bi...	NA	protein-term
EIF3D	RNA binding	NA	protein-term
RS5	rRNA binding	NA	protein-term
RS5	translation factor activity, RNA bi...	NA	protein-term
RS5	RNA binding	NA	protein-term
GRN	rRNA binding	NA	protein-term
GRN	translation factor activity, RNA bi...	NA	protein-term
GRN	RNA binding	NA	protein-term
RL18A	rRNA binding	NA	protein-term
RL18A	translation factor activity, RNA bi...	NA	protein-term
RL18A	RNA binding	NA	protein-term
ROAA	rRNA binding	NA	protein-term
ROAA	translation factor activity, RNA bi...	NA	protein-term
ROAA	RNA binding	NA	protein-term
RS5	mRNA binding	NA	protein-term
RLA2	structural molecule activity	NA	protein-term
RLA2	structural constituent of ribosome	NA	protein-term
RS3A	structural molecule activity	NA	protein-term
RS3A	structural constituent of ribosome	NA	protein-term
RS26	structural molecule activity	NA	protein-term
RS26	structural constituent of ribosome	NA	protein-term
RL18A	structural molecule activity	NA	protein-term
RL18A	structural constituent of ribosome	NA	protein-term
RL3	structural molecule activity	NA	protein-term
RL3	structural constituent of ribosome	NA	protein-term
RS17	structural molecule activity	NA	protein-term
RS17	structural constituent of ribosome	NA	protein-term
RS5	structural molecule activity	NA	protein-term
RS5	structural constituent of ribosome	NA	protein-term
RS13	structural molecule activity	NA	protein-term
RS13	structural constituent of ribosome	NA	protein-term
EF2.5.5.m.39855	translation factor activity, RNA bi...	NA	protein-term
EF2.5.5.m.39855	RNA binding	NA	protein-term
EF1A.2.4.m.50858	translation factor activity, RNA bi...	NA	protein-term
EF1A.2.4.m.50858	RNA binding	NA	protein-term
EF1A.1.3.m.30022	translation factor activity, RNA bi...	NA	protein-term
EF1A.1.3.m.30022	RNA binding	NA	protein-term
EF2.4.5.m.30186	translation factor activity, RNA bi...	NA	protein-term
EF2.4.5.m.30186	RNA binding	NA	protein-term
PPIB	isomerase activity	NA	protein-term
FKB14.3.4.m.26463	isomerase activity	NA	protein-term
FKB14.1.4.m.6122	isomerase activity	NA	protein-term
PPIA	isomerase activity	NA	protein-term
PDIA1	isomerase activity	NA	protein-term
SYNE1.1.2.m.37063	cytoskeletal protein binding	NA	protein-term
MYO15	cytoskeletal protein binding	NA	protein-term
SPTCA.2.2.m.25615	cytoskeletal protein binding	NA	protein-term
SPTN5	cytoskeletal protein binding	NA	protein-term
CROCC	cytoskeletal protein binding	NA	protein-term
SPTCA.1.2.m.1905	cytoskeletal protein binding	NA	protein-term
ZASP	cytoskeletal protein binding	NA	protein-term
FLNA.2.6.m.11845	cytoskeletal protein binding	NA	protein-term
SPTCB	cytoskeletal protein binding	NA	protein-term
SYNE1.2.2.m.54514	cytoskeletal protein binding	NA	protein-term
EF2.4.5.m.30186	GTPase activity	NA	protein-term
EF1A.1.3.m.30022	GTPase activity	NA	protein-term
TBA3.1.1.m.5111	GTPase activity	NA	protein-term
TBB.6.7.m.57854	GTPase activity	NA	protein-term
TBA1A	GTPase activity	NA	protein-term
EF1A.2.4.m.50858	GTPase activity	NA	protein-term
TBB4	GTPase activity	NA	protein-term
U5S1	GTPase activity	NA	protein-term
EF2.5.5.m.39855	GTPase activity	NA	protein-term
TBB.1.1.m.57452	GTPase activity	NA	protein-term
TBB.1.1.m.40048	GTPase activity	NA	protein-term
TBA1	GTPase activity	NA	protein-term
TBB.7.7.m.63980	GTPase activity	NA	protein-term
TBA3.2.9.m.9962	GTPase activity	NA	protein-term
TBB.1.7.m.12262	GTPase activity	NA	protein-term
THIM	transferase activity, transferring ...	NA	protein-term
KARG	kinase activity	NA	protein-term
ASNS	ligase activity	NA	protein-term
CATA.3.3.m.21642	oxidoreductase activity	NA	protein-term
CATA.1.3.m.11120	oxidoreductase activity	NA	protein-term
KCY	kinase activity	NA	protein-term
TPP2	peptidase activity	NA	protein-term
CNDP2	peptidase activity	NA	protein-term
PCY2	nucleotidyltransferase activity	NA	protein-term
FAS	transferase activity, transferring ...	NA	protein-term
FAS	oxidoreductase activity	NA	protein-term
ALF	lyase activity	NA	protein-term
IDHP	oxidoreductase activity	NA	protein-term
SNO1	oxidoreductase activity	NA	protein-term
XRN2	nuclease activity	NA	protein-term
PAN2	nuclease activity	NA	protein-term
KAD9.2.3.m.49697	kinase activity	NA	protein-term
KAD9.3.3.m.63103	kinase activity	NA	protein-term
AMY1	hydrolase activity, acting on glyco...	NA	protein-term
RPN1	transferase activity, transferring ...	NA	protein-term
PCKG	lyase activity	NA	protein-term
ENO	lyase activity	NA	protein-term
PDIA1	oxidoreductase activity	NA	protein-term
PCCA	ligase activity	NA	protein-term
KS6A3	kinase activity	NA	protein-term
UNC22.19.19.m.66288	kinase activity	NA	protein-term
UNC22.3.7.m.20773	kinase activity	NA	protein-term
UNC22.5.7.m.43551	kinase activity	NA	protein-term
UNC22.7.7.m.54053	kinase activity	NA	protein-term
TITIN.8.19.m.35861	kinase activity	NA	protein-term
UNC22.2.7.m.2274	kinase activity	NA	protein-term
TITIN.m.27774	kinase activity	NA	protein-term
SODC	oxidoreductase activity	NA	protein-term
SYRC	ligase activity	NA	protein-term
ITIH4.1.1.m.39811	enzyme regulator activity	NA	protein-term
ITIH4.1.1.m.39091	enzyme regulator activity	NA	protein-term
CO6A3	enzyme regulator activity	NA	protein-term
CRB	enzyme binding	NA	protein-term
IFEA.2.3.m.44496	structural molecule activity	NA	protein-term
IFEA.2.3.m.44496	structural constituent of ribosome	NA	protein-term
CROCC	structural molecule activity	NA	protein-term
CROCC	structural constituent of ribosome	NA	protein-term
IFEA.1.1.m.42880	structural molecule activity	NA	protein-term
IFEA.1.1.m.42880	structural constituent of ribosome	NA	protein-term
COPG2	structural molecule activity	NA	protein-term
COPG2	structural constituent of ribosome	NA	protein-term
HTS	structural molecule activity	NA	protein-term
HTS	structural constituent of ribosome	NA	protein-term
TBB.1.7.m.12262	structural molecule activity	NA	protein-term
TBA3.1.1.m.5111	structural molecule activity	NA	protein-term
TBB4	structural molecule activity	NA	protein-term
TBA3.2.9.m.9962	structural molecule activity	NA	protein-term
TBA	structural molecule activity	NA	protein-term
TBB.1.1.m.40048	structural molecule activity	NA	protein-term
SPTCB	structural molecule activity	NA	protein-term
TBB.1.1.m.57452	structural molecule activity	NA	protein-term
ARP3	structural molecule activity	NA	protein-term
TBB.7.7.m.63980	structural molecule activity	NA	protein-term
TITIN.8.19.m.35861	structural molecule activity	NA	protein-term
TLN1	structural molecule activity	NA	protein-term
TBA1A	structural molecule activity	NA	protein-term
TBA1	structural molecule activity	NA	protein-term
TBB.6.7.m.57854	structural molecule activity	NA	protein-term
HMCN1	structural molecule activity	NA	protein-term
MATN1	structural molecule activity	NA	protein-term
CMC	transmembrane transporter activity	NA	protein-term
AT2B3	transmembrane transporter activity	NA	protein-term
AT2B3	ATPase activity	NA	protein-term
AT1A	ATPase activity	NA	protein-term
AT1A	transmembrane transporter activity	NA	protein-term
S4A8	transmembrane transporter activity	NA	protein-term
GLSN	ion binding	NA	protein-term
PLOD3	ion binding	NA	protein-term
ABCE1	ion binding	NA	protein-term
SODC	ion binding	NA	protein-term
FKB14.3.4.m.26463	ion binding	NA	protein-term
MLP	ion binding	NA	protein-term
SPTCA.2.2.m.25615	ion binding	NA	protein-term
AMY1	ion binding	NA	protein-term
CALUB	ion binding	NA	protein-term
CALX	ion binding	NA	protein-term
CALM.44.50.m.56751	ion binding	NA	protein-term
MLE	ion binding	NA	protein-term
SCP	ion binding	NA	protein-term
FKB14.1.4.m.6122	ion binding	NA	protein-term
DYH7.2.3.m.32353	ion binding	NA	protein-term
CALR.2.3.m.36820	ion binding	NA	protein-term
CMC	ion binding	NA	protein-term
SVEP1	ion binding	NA	protein-term
FAT4.1.1.m.34344	ion binding	NA	protein-term
TITIN.8.19.m.35861	ion binding	NA	protein-term
MLRA	ion binding	NA	protein-term
TITIN.m.27774	ion binding	NA	protein-term
EFCB6	ion binding	NA	protein-term
PGBM	ion binding	NA	protein-term
CRB	ion binding	NA	protein-term
HMCN1	ion binding	NA	protein-term
CALM.50.50.m.67046	ion binding	NA	protein-term
DYH7.2.2.m.46648	ion binding	NA	protein-term
CALR.1.3.m.35108	ion binding	NA	protein-term
MATN1	ion binding	NA	protein-term
EFCB5	ion binding	NA	protein-term
SPTCA.1.2.m.1905	ion binding	NA	protein-term
FAT4.1.1.m.65727	ion binding	NA	protein-term
SPTCB	lipid binding	NA	protein-term
PGBM	biosynthetic process	NA	protein-term
PGBM	catabolic process	NA	protein-term
FAS	small molecule metabolic process	NA	protein-term
PCKG	carbohydrate metabolic process	NA	protein-term
PCKG	small molecule metabolic process	NA	protein-term
PCKG	biosynthetic process	NA	protein-term
ALF	small molecule metabolic process	NA	protein-term
ALF	cellular nitrogen compound metaboli...	NA	protein-term
ALF	generation of precursor metabolites...	NA	protein-term
ALF	carbohydrate metabolic process	NA	protein-term
ALF	catabolic process	NA	protein-term
ALF	cofactor metabolic process	NA	protein-term
ENO	small molecule metabolic process	NA	protein-term
ENO	cellular nitrogen compound metaboli...	NA	protein-term
ENO	generation of precursor metabolites...	NA	protein-term
ENO	carbohydrate metabolic process	NA	protein-term
ENO	catabolic process	NA	protein-term
ENO	cofactor metabolic process	NA	protein-term
IDHP	small molecule metabolic process	NA	protein-term
IDHP	carbohydrate metabolic process	NA	protein-term
KCY	cellular nitrogen compound metaboli...	NA	protein-term
KCY	small molecule metabolic process	NA	protein-term
KAD9.3.3.m.63103	small molecule metabolic process	NA	protein-term
KAD9.3.3.m.63103	cellular nitrogen compound metaboli...	NA	protein-term
KAD9.3.3.m.63103	biosynthetic process	NA	protein-term
KAD9.2.3.m.49697	small molecule metabolic process	NA	protein-term
KAD9.2.3.m.49697	cellular nitrogen compound metaboli...	NA	protein-term
KAD9.2.3.m.49697	biosynthetic process	NA	protein-term
KCY	biosynthetic process	NA	protein-term
PRP19	response to stress	NA	protein-term
PRP19	DNA metabolic process	NA	protein-term
H2B7	protein-containing complex assembly	NA	protein-term
H2B7	cellular component assembly	NA	protein-term
