source,target,type
structural constituent of cytoskeleton,CHOYP_LOC754102.1.1.m.57578,term_protein
striated muscle thin filament,CHOYP_PHUM_PHUM226120.5.7.m.43551,term_protein
structural constituent of cytoskeleton,CHOYP_TBA.1.6.m.12217,term_protein
GTPase activity,CHOYP_TBA1A.2.4.m.19573,term_protein
angiogenesis,CHOYP_TMEM2.3.4.m.10491,term_protein
neuromuscular junction,CHOYP_BRAFLDRAFT_127065.6.7.m.30727,term_protein
extracellular region,CHOYP_contig_026700.m.30399,term_protein
3-oxo-pimeloyl-[acp] methyl ester reductase activity,CHOYP_FASN.3.4.m.60278,term_protein
regulation of cellular defense response,CHOYP_FUCL1.1.1.m.28893,term_protein
microtubule-based process,CHOYP_LOC584364.2.2.m.57790,term_protein
microtubule-based process,CHOYP_LOC754102.1.1.m.57578,term_protein
Z disc,CHOYP_PHUM_PHUM226120.5.7.m.43551,term_protein
microtubule-based process,CHOYP_TBA.1.6.m.12217,term_protein
structural constituent of cytoskeleton,CHOYP_TBA1A.2.4.m.19573,term_protein
hyaluronan catabolic process,CHOYP_TMEM2.3.4.m.10491,term_protein
trans-Golgi network,CHOYP_BRAFLDRAFT_127065.6.7.m.30727,term_protein
extracellular space,CHOYP_contig_026700.m.30399,term_protein
3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity,CHOYP_FASN.3.4.m.60278,term_protein
regulation of complement activation,CHOYP_FUCL1.1.1.m.28893,term_protein
actin filament binding,CHOYP_PHUM_PHUM226120.5.7.m.43551,term_protein
microtubule cytoskeleton organization,CHOYP_TBA1A.2.4.m.19573,term_protein
regulation of sprouting angiogenesis,CHOYP_TMEM2.3.4.m.10491,term_protein
cell adhesion molecule binding,CHOYP_BRAFLDRAFT_127065.6.7.m.30727,term_protein
microfibril,CHOYP_contig_026700.m.30399,term_protein
3-oxoacyl-[acyl-carrier-protein] synthase activity,CHOYP_FASN.3.4.m.60278,term_protein
regulation of innate immune response,CHOYP_FUCL1.1.1.m.28893,term_protein
ATP binding,CHOYP_PHUM_PHUM226120.5.7.m.43551,term_protein
microtubule-based process,CHOYP_TBA1A.2.4.m.19573,term_protein
extracellular matrix structural constituent,CHOYP_BRAFLDRAFT_127065.6.7.m.30727,term_protein
calcium ion binding,CHOYP_contig_026700.m.30399,term_protein
[acyl-carrier-protein] S-acetyltransferase activity,CHOYP_FASN.3.4.m.60278,term_protein
calmodulin binding,CHOYP_PHUM_PHUM226120.5.7.m.43551,term_protein
mitotic cell cycle,CHOYP_TBA1A.2.4.m.19573,term_protein
heparin binding,CHOYP_BRAFLDRAFT_127065.6.7.m.30727,term_protein
extracellular matrix constituent conferring elasticity,CHOYP_contig_026700.m.30399,term_protein
[acyl-carrier-protein] S-malonyltransferase activity,CHOYP_FASN.3.4.m.60278,term_protein
metal ion binding,CHOYP_PHUM_PHUM226120.5.7.m.43551,term_protein
metal ion binding,CHOYP_BRAFLDRAFT_127065.6.7.m.30727,term_protein
extracellular matrix structural constituent,CHOYP_contig_026700.m.30399,term_protein
enoyl-[acyl-carrier-protein] reductase (NADPH,CHOYP_FASN.3.4.m.60278,term_protein
muscle alpha-actinin binding,CHOYP_PHUM_PHUM226120.5.7.m.43551,term_protein
bone regeneration,CHOYP_BRAFLDRAFT_127065.6.7.m.30727,term_protein
heparin binding,CHOYP_contig_026700.m.30399,term_protein
fatty acid synthase activity,CHOYP_FASN.3.4.m.60278,term_protein
protein kinase binding,CHOYP_PHUM_PHUM226120.5.7.m.43551,term_protein
cell adhesion,CHOYP_BRAFLDRAFT_127065.6.7.m.30727,term_protein
hormone activity,CHOYP_contig_026700.m.30399,term_protein
myristoyl-[acyl-carrier-protein] hydrolase activity,CHOYP_FASN.3.4.m.60278,term_protein
protein serine/threonine kinase activity,CHOYP_PHUM_PHUM226120.5.7.m.43551,term_protein
cellular response to fibroblast growth factor stimulus,CHOYP_BRAFLDRAFT_127065.6.7.m.30727,term_protein
identical protein binding,CHOYP_contig_026700.m.30399,term_protein
oleoyl-[acyl-carrier-protein] hydrolase activity,CHOYP_FASN.3.4.m.60278,term_protein
structural constituent of muscle,CHOYP_PHUM_PHUM226120.5.7.m.43551,term_protein
cellular response to transforming growth factor beta stimulus,CHOYP_BRAFLDRAFT_127065.6.7.m.30727,term_protein
integrin binding,CHOYP_contig_026700.m.30399,term_protein
palmitoyl-[acyl-carrier-protein] hydrolase activity,CHOYP_FASN.3.4.m.60278,term_protein
adult locomotory behavior,CHOYP_PHUM_PHUM226120.5.7.m.43551,term_protein
cellular response to tumor necrosis factor,CHOYP_BRAFLDRAFT_127065.6.7.m.30727,term_protein
protein-containing complex binding,CHOYP_contig_026700.m.30399,term_protein
phosphopantetheine binding,CHOYP_FASN.3.4.m.60278,term_protein
behavioral response to nicotine,CHOYP_PHUM_PHUM226120.5.7.m.43551,term_protein
cellular response to vitamin K,CHOYP_BRAFLDRAFT_127065.6.7.m.30727,term_protein
activation of protein kinase A activity,CHOYP_contig_026700.m.30399,term_protein
single-stranded DNA binding,CHOYP_FASN.3.4.m.60278,term_protein
muscle contraction,CHOYP_PHUM_PHUM226120.5.7.m.43551,term_protein
extracellular matrix organization,CHOYP_BRAFLDRAFT_127065.6.7.m.30727,term_protein
camera-type eye development,CHOYP_contig_026700.m.30399,term_protein
fatty acid biosynthetic process,CHOYP_FASN.3.4.m.60278,term_protein
negative regulation of cell division,CHOYP_PHUM_PHUM226120.5.7.m.43551,term_protein
negative regulation of cell-matrix adhesion,CHOYP_BRAFLDRAFT_127065.6.7.m.30727,term_protein
cell adhesion mediated by integrin,CHOYP_contig_026700.m.30399,term_protein
lactate metabolic process,CHOYP_FASN.3.4.m.60278,term_protein
peptidyl-serine phosphorylation,CHOYP_PHUM_PHUM226120.5.7.m.43551,term_protein
negative regulation of substrate adhesion-dependent cell spreading,CHOYP_BRAFLDRAFT_127065.6.7.m.30727,term_protein
cellular protein metabolic process,CHOYP_contig_026700.m.30399,term_protein
positive regulation of appetite,CHOYP_FASN.3.4.m.60278,term_protein
peptidyl-threonine phosphorylation,CHOYP_PHUM_PHUM226120.5.7.m.43551,term_protein
neuron projection extension,CHOYP_BRAFLDRAFT_127065.6.7.m.30727,term_protein
cellular response to insulin-like growth factor stimulus,CHOYP_contig_026700.m.30399,term_protein
positive regulation of locomotion,CHOYP_PHUM_PHUM226120.5.7.m.43551,term_protein
positive regulation of chemokine (C-C motif) ligand 2 secretion,CHOYP_BRAFLDRAFT_127065.6.7.m.30727,term_protein
cellular response to transforming growth factor beta stimulus,CHOYP_contig_026700.m.30399,term_protein
positive regulation of sarcomere organization,CHOYP_PHUM_PHUM226120.5.7.m.43551,term_protein
positive regulation of smooth muscle cell migration,CHOYP_BRAFLDRAFT_127065.6.7.m.30727,term_protein
embryonic eye morphogenesis,CHOYP_contig_026700.m.30399,term_protein
positive regulation of striated muscle contraction,CHOYP_PHUM_PHUM226120.5.7.m.43551,term_protein
regulation of Notch signaling pathway,CHOYP_BRAFLDRAFT_127065.6.7.m.30727,term_protein
extracellular matrix organization,CHOYP_contig_026700.m.30399,term_protein
sarcomere organization,CHOYP_PHUM_PHUM226120.5.7.m.43551,term_protein
regulation of systemic arterial blood pressure,CHOYP_BRAFLDRAFT_127065.6.7.m.30727,term_protein
glucose homeostasis,CHOYP_contig_026700.m.30399,term_protein
striated muscle myosin thick filament assembly,CHOYP_PHUM_PHUM226120.5.7.m.43551,term_protein
response to estradiol,CHOYP_BRAFLDRAFT_127065.6.7.m.30727,term_protein
glucose metabolic process,CHOYP_contig_026700.m.30399,term_protein
response to hypoxia,CHOYP_BRAFLDRAFT_127065.6.7.m.30727,term_protein
heart development,CHOYP_contig_026700.m.30399,term_protein
response to mechanical stimulus,CHOYP_BRAFLDRAFT_127065.6.7.m.30727,term_protein
metanephros development,CHOYP_contig_026700.m.30399,term_protein
response to muscle activity,CHOYP_BRAFLDRAFT_127065.6.7.m.30727,term_protein
negative regulation of osteoclast development,CHOYP_contig_026700.m.30399,term_protein
tissue development,CHOYP_BRAFLDRAFT_127065.6.7.m.30727,term_protein
negative regulation of osteoclast differentiation,CHOYP_contig_026700.m.30399,term_protein
post-embryonic eye morphogenesis,CHOYP_contig_026700.m.30399,term_protein
post-translational protein modification,CHOYP_contig_026700.m.30399,term_protein
protein kinase A signaling,CHOYP_contig_026700.m.30399,term_protein
sequestering of BMP in extracellular matrix,CHOYP_contig_026700.m.30399,term_protein
sequestering of TGFbeta in extracellular matrix,CHOYP_contig_026700.m.30399,term_protein
skeletal system development,CHOYP_contig_026700.m.30399,term_protein
