term	numprots	D3_TNSnorm_magFC	D3_NSAFnorm_magFC	D5_TNSnorm_magFC	D5_NSAFnorm_magFC	D7_TNSnorm_magFC	D7_NSAFnorm_magFC	D9_TNSnorm_magFC	D9_NSAFnorm_magFC	D11_TNSnorm_magFC	D11_NSAFnorm_magFC	D13_TNSnorm_magFC	D13_NSAFnorm_magFC	D3_TNS_NSAF_sum	D3_TNS_NSAF_mean	D5_TNS_NSAF_sum	D5_TNS_NSAF_mean	D7_TNS_NSAF_sum	D7_TNS_NSAF_mean	D9_TNS_NSAF_sum	D9_TNS_NSAF_mean	D11_TNS_NSAF_sum	D11_TNS_NSAF_mean	D13_TNS_NSAF_sum	D13_TNS_NSAF_mean
cell death	4	0.337572307768315	0.320983016676565	0.913019174144922	2.35446323801688	0.571320507833314	0.302303080615552	0.412124697432322	0.290924533254058	0.223256013076986	0.186873642328518	0.368162864146808	0.370296520592355	0.65855532444488	0.439036882963253	3.2674824121618	2.17832160810787	0.873623588448867	0.582415725632578	0.70304923068638	0.468699487124254	0.410129655405504	0.273419770270336	0.738459384739163	0.492306256492775
cell differentiation	14	0.673081048012769	2.30461051006516	0.533546903637645	0.75142942511249	0.318243441665048	0.466860175422768	0.491938709392409	1.35225387999387	0.456176319991663	1.20501980854596	0.553901446963185	1.45847872897644	2.97769155807793	1.98512770538528	1.28497632875014	0.856650885833423	0.785103617087815	0.523402411391877	1.84419258938628	1.22946172625752	1.66119612853763	1.10746408569175	2.01238017593963	1.34158678395975
cell division	8	1.53412708826078	3.96131706675368	0.401076664967065	1.54227805209542	0.241519407209049	0.147179464080972	0.3982848730991	1.47616960643575	0.396194544655545	1.43146701654566	0.620820611698452	1.90421780525725	5.49544415501446	3.66362943667631	1.94335471706248	1.29556981137499	0.388698871290021	0.259132580860014	1.87445447953485	1.2496363196899	1.8276615612012	1.2184410408008	2.5250384169557	1.68335894463714
cell junction organization	3	1.97735465754642	2.62630932821525	0.41517573450912	0.790818091924669	0.38359719897564	0.79978276497246	0.359004848987478	0.230562986473855	0.374353240408515	0.678364627944592	0.728888612389358	2.85537247228373	4.60366398576167	3.06910932384111	1.20599382643379	0.803995884289193	1.1833799639481	0.7889199759654	0.589567835461333	0.393045223640889	1.05271786835311	0.701811912235405	3.58426108467308	2.38950738978206
cell morphogenesis	12	1.39142380151838	1.94041906865982	0.311491325160576	0.91939659152118	0.218599009451382	0.597486253912659	0.26037946309439	0.685240806827875	0.395429188337131	0.83703402927261	0.225504665654836	1.00633337154735	3.3318428701782	2.2212285801188	1.23088791668176	0.820591944454504	0.816085263364041	0.544056842242694	0.945620269922265	0.63041351328151	1.23246321760974	0.82164214507316	1.23183803720218	0.821225358134787
cell motility	14	1.05991370533137	1.64517762298476	0.319177471833698	1.47878307770865	0.2462958134173	0.316257579041309	0.787015198247894	1.84485240901535	0.581598837727431	1.47840493886979	0.33678179507119	1.50464155801782	2.70509132831614	1.80339421887742	1.79796054954235	1.19864036636157	0.562553392458609	0.375035594972406	2.63186760726325	1.75457840484216	2.06000377659722	1.37333585106481	1.84142335308901	1.227615568726
cell proliferation	7	0.233271679439425	2.98729307695625	0.255782133463715	1.51966536465247	0.289808235152196	0.253880620791051	0.451563027389571	1.54023439112474	0.175394163694138	1.31560965303314	0.192707758540949	2.86045562285548	3.22056475639567	2.14704317093045	1.77544749811618	1.18363166541079	0.543688855943247	0.362459237295498	1.99179741851431	1.32786494567621	1.49100381672727	0.99400254448485	3.05316338139643	2.03544225426429
cell-cell signaling	4	0.325118196862046	0.591660741400455	0.24823856833871	0.291559833455242	0.199527808625252	0.25666165227367	0.33930982606158	0.516425443647091	0.233604598436547	0.25193449112332	0.380116687340569	2.81074463339559	0.916778938262501	0.611185958841667	0.539798401793952	0.359865601195968	0.456189460898922	0.304126307265948	0.85573526970867	0.57049017980578	0.485539089559867	0.323692726373245	3.19086132073616	2.12724088049077
cellular amino acid metabolic proce...	3	1.78626830112042	2.67730461665588	0.706794708542927	1.77431928162764	0.529150861740046	0.420419921218216	0.483466747498453	0.500497165734242	0.406555827565764	0.428966276623192	0.688085596597197	0.662807401046371	4.46357291777629	2.97571527851753	2.48111399017057	1.65407599344705	0.949570782958262	0.633047188638841	0.983963913232695	0.65597594215513	0.835522104188956	0.557014736125971	1.35089299764357	0.900595331762378
cellular component assembly	55	0.780158486261684	1.51663090414713	0.301429234435636	1.10872935683474	0.294280477952973	0.414545680420429	0.523900991441566	1.303704706749	0.401961983796284	1.00037192749848	0.321530328781684	1.26842951099647	2.29678939040881	1.53119292693921	1.41015859127038	0.940105727513586	0.708826158373402	0.472550772248935	1.82760569819056	1.21840379879371	1.40233391129476	0.934889274196507	1.58995983977816	1.05997322651877
cellular nitrogen compound metaboli...	44	0.358470652736362	0.725535829845377	0.207385389819593	1.25048413754238	0.282226250721568	0.736790717245047	0.361380365684921	1.20346866027763	0.25043981208504	0.987036303954427	0.334818528788008	0.913547470962174	1.08400648258174	0.722670988387826	1.45786952736197	0.971913018241313	1.01901696796662	0.679344645311077	1.56484902596255	1.04323268397503	1.23747611603947	0.824984077359644	1.24836599975018	0.832243999833455
cellular protein modification proce...	24	0.49624755248709	0.866321226178194	0.222470649616314	0.670118894311211	0.268117471734849	0.379422452615626	0.469892401054493	0.819159481953488	0.32658435247859	0.538945876154649	0.555697950662953	1.61361558815456	1.36256877866528	0.908379185776856	0.892589543927525	0.595059695951683	0.647539924350475	0.431693282900317	1.28905188300798	0.859367922005321	0.865530228633239	0.577020152422159	2.16931353881751	1.44620902587834
chromosome organization	3	1.82634028170015	4.36171167652926	0.374657725061491	1.9059666603224	0.826776642080499	1.76646615749812	0.396523546245025	2.45012918272287	0.362727482566786	1.37402439934313	0.467287305953531	3.15327560119806	6.1880519582294	4.12536797215294	2.28062438538389	1.52041625692259	2.59324279957862	1.72882853305241	2.8466527289679	1.8977684859786	1.73675188190992	1.15783458793994	3.62056290715159	2.41370860476773
chromosome segregation	3	0.920681237853692	1.40249545381892	0.418502246274495	0.214346162277172	0.385282193826756	0.112159302286383	0.340705440052203	0.211483431717171	0.738460297787849	0.826143421406813	0.593323318728014	1.21863401812185	2.32317669167261	1.54878446111507	0.632848408551666	0.421898939034444	0.497441496113139	0.331627664075426	0.552188871769375	0.368125914512916	1.56460371919466	1.04306914612978	1.81195733684987	1.20797155789991
cofactor metabolic process	5	0.1702497748534	0.18065314469641	0.135133468776577	0.178112884984074	0.24803909109118	0.259943557654458	0.187746667728963	0.19068498463512	0.101924637569274	0.100790263771556	0.316826942924015	0.319064566909926	0.35090291954981	0.233935279699873	0.313246353760651	0.208830902507101	0.507982648745638	0.338655099163758	0.378431652364084	0.252287768242722	0.20271490134083	0.135143267560553	0.635891509833941	0.423927673222628
cytoskeletal protein binding	34	0.420191807860489	1.83844448495154	0.177882236868374	1.03368361987011	0.256915808039724	0.362698788297398	0.319614681793515	1.19360210640018	0.283924393240795	0.823142205362698	0.322839560165832	1.90387426082899	2.25863629281203	1.50575752854136	1.21156585673848	0.80771057115899	0.619614596337121	0.413076397558081	1.5132167881937	1.00881119212913	1.10706659860349	0.738044399068996	2.22671382099482	1.48447588066322
cytoskeleton organization	32	0.516905105170121	2.31357626126453	0.238638112602462	1.83996911714614	0.304216771709939	0.645006309865627	0.39907887557877	1.68876144766948	0.271414941355987	0.823257750980514	0.46230397489833	2.33457432918781	2.83048136643465	1.8869875776231	2.0786072297486	1.38573815316574	0.949223081575566	0.632815387717044	2.08784032324825	1.39189354883217	1.0946726923365	0.729781794891	2.79687830408614	1.86458553605743
cytoskeleton-dependent intracellula...	1	1.01267120408464	1.11784322498281	0.549758109297326	0.6310967992737	0.226860833890674	0.250003398445909	0.213361045194511	0.373192403784488	1.31954650090705	6.75588902600854	0.638261197190921	6.04910795741234	2.13051442906745	1.42034295271163	1.18085490857103	0.787236605714017	0.476864232336583	0.317909488224389	0.586553448978999	0.391035632652666	8.07543552691559	5.38362368461039	6.68736915460326	4.45824610306884
developmental maturation	1	0.0963310557008485	1.14873235665669	0.0259729467664567	0.0101614284054143	0.0801911847486654	0.00524730571324561	0.292944511651647	0.288864610936127	0.0158858583300621	0.0874104177584512	0.0344043847172948	9.61944785965549	1.24506341235754	0.830042274905026	0.036134375171871	0.024089583447914	0.085438490461911	0.056958993641274	0.581809122587774	0.387872748391849	0.103296276088513	0.0688641840590089	9.65385224437279	6.43590149624852
DNA binding	14	0.434432239999876	1.69855298374034	0.391038510632581	0.784215026540101	0.306781393854575	0.423110827750297	0.755333938983152	1.72747866484954	0.534790130544001	1.23343808596796	0.475661064699323	1.37449139347898	2.13298522374022	1.42199014916015	1.17525353717268	0.783502358115121	0.729892221604872	0.486594814403248	2.48281260383269	1.65520840255513	1.76822821651196	1.17881881100798	1.85015245817831	1.23343497211887
DNA metabolic process	4	0.523515869884505	0.777593219171953	0.45035592108959	1.90363809691489	0.397495143871945	0.621336152705567	1.08362770595087	1.42050656636504	0.502448839563472	0.856769772254206	0.642531036327312	2.1318808260453	1.30110908905646	0.867406059370972	2.35399401800448	1.56932934533632	1.01883129657751	0.679220864385008	2.50413427231591	1.66942284821061	1.35921861181768	0.906145741211785	2.77441186237261	1.84960790824841
embryo development	3	0.499896218131279	0.71803930861304	0.177735933345816	0.172288020168266	0.50369495385188	0.47394539285208	0.775569999342645	0.830472288672787	0.558332180320747	1.09731470967326	1.25323211743773	1.31638219073015	1.21793552674432	0.811957017829546	0.350023953514083	0.233349302342722	0.97764034670396	0.651760231135974	1.60604228801543	1.07069485867695	1.65564688999401	1.10376459332934	2.56961430816788	1.71307620544526
enzyme binding	22	0.698695685964139	1.35055414881307	0.268368216162494	0.991086104227503	0.310819428604487	0.466772468615795	0.459868760684532	0.924078492541859	0.402071262278608	0.86244380514547	0.440352366549481	1.95219786386432	2.04924983477721	1.36616655651814	1.25945432039	0.839636213593332	0.777591897220283	0.518394598146855	1.38394725322639	0.922631502150928	1.26451506742408	0.843010044949385	2.3925502304138	1.59503348694254
enzyme regulator activity	12	1.54753776698043	2.1868319511009	0.256719537411442	0.733218252071078	0.157173206704867	0.592711463551255	0.214335936671094	0.682079374191399	0.305759600508052	0.735872546389161	0.131243246169572	0.624946268546436	3.73436971808133	2.48957981205422	0.98993778948252	0.65995852632168	0.749884670256122	0.499923113504081	0.896415310862492	0.597610207241662	1.04163214689721	0.694421431264809	0.756189514716008	0.504126343144005
extracellular matrix organization	8	1.30033854309229	0.872080406840341	0.330989189145539	0.517181138728431	0.232207121951337	0.328907192677157	0.309863033578815	0.727662639813682	0.468460277910867	1.0528246972306	0.387996345792341	0.55051198771346	2.17241894993263	1.44827929995509	0.84817032787397	0.565446885249313	0.561114314628494	0.37407620975233	1.0375256733925	0.691683782261665	1.52128497514147	1.01418998342765	0.938508333505801	0.625672222337201
generation of precursor metabolites...	7	0.472228378859502	0.769420788657437	0.144965554794639	0.257879642940968	0.252988179682391	1.0237065447359	0.356045357429681	0.836054571625656	0.588161872790324	1.35827718746179	0.474251672850011	0.917399146610095	1.24164916751694	0.827766111677959	0.402845197735607	0.268563465157072	1.27669472441829	0.851129816278861	1.19209992905534	0.794733286036892	1.94643906025211	1.29762604016808	1.39165081946011	0.927767212973404
growth	4	0.203108396013684	0.291989992588141	0.51983927985077	0.533025461493552	0.362286996715266	0.303360325515132	0.449576115698106	0.425711210450288	0.735116001927287	1.13838064477332	0.678394751057679	0.566782245459768	0.495098388601824	0.330065592401216	1.05286474134432	0.701909827562881	0.665647322230398	0.443764881486932	0.875287326148394	0.58352488409893	1.87349664670061	1.24899776446707	1.24517699651745	0.830117997678298
GTPase activity	13	0.255735627569881	1.30148412927243	0.176209374995473	1.99474139472773	0.230239153361309	0.209787289414998	0.323596892426106	0.722872366497	0.138941794071762	0.54776194516384	0.0977225129680403	0.339466739659025	1.55721975684231	1.03814650456154	2.1709507697232	1.4473005131488	0.440026442776307	0.293350961850871	1.04646925892311	0.697646172615404	0.686703739235602	0.457802492823735	0.437189252627065	0.291459501751377
histone binding	1	0.111267592083492	0.0901346254225048	0.602244984147725	0.601636958585793	0.479407963052616	0.521081851309241	0.426764683303704	0.470171424904615	0.392328112296328	0.398003789354799	0.724308882193787	0.809394319599971	0.201402217505997	0.134268145003998	1.20388194273352	0.802587961822345	1.00048981436186	0.666993209574571	0.896936108208319	0.597957405472213	0.790331901651127	0.526887934434085	1.53370320179376	1.02246880119584
homeostatic process	7	0.602822807132839	0.805441315786626	0.298285741145817	0.209986655397358	0.352971892390291	0.261967493190735	0.421015432827822	0.376390554207026	0.305086310225541	0.337195184563084	0.443625031631864	0.698233178202466	1.40826412291946	0.938842748612977	0.508272396543175	0.338848264362116	0.614939385581026	0.409959590387351	0.797405987034848	0.531603991356566	0.642281494788625	0.428187663192417	1.14185820983433	0.76123880655622
hydrolase activity, acting on carbo...	2	0.0550630432676913	0.043483564664899	0.187820311934445	0.233695492140408	0.214927762101617	0.225026465472993	0.243701861975599	0.250330806536214	0.0585917696851697	0.0728083153990337	0.0653738279836257	0.0193686618142958	0.0985466079325903	0.0656977386217269	0.421515804074853	0.281010536049902	0.43995422757461	0.293302818383073	0.494032668511813	0.329355112341209	0.131400085084203	0.0876000567228023	0.0847424897979216	0.0564949931986144
hydrolase activity, acting on glyco...	6	0.993213439921483	1.24324973946653	0.555349673921261	1.76355218787854	0.462776998011345	0.658087566959932	0.285091287719001	0.222457514276512	0.190866319256656	0.538810386566365	0.211627754433193	0.0956216203502992	2.23646317938801	1.49097545292534	2.31890186179981	1.5459345745332	1.12086456497128	0.747243043314185	0.507548801995512	0.338365867997008	0.729676705823021	0.486451137215348	0.307249374783492	0.204832916522328
immune system process	9	0.506032200801308	0.90027297884409	0.494811444842626	2.43402724665599	0.202560112643406	0.23072274729672	0.400046262629268	0.496006462342943	0.396937506086469	0.375908996822916	0.527491850572011	0.90282947006441	1.4063051796454	0.937536786430265	2.92883869149861	1.95255912766574	0.433282859940125	0.288855239960084	0.896052724972211	0.597368483314807	0.772846502909385	0.51523100193959	1.43032132063642	0.953547547090947
ion binding	63	0.920306915057621	1.88121576854099	0.33255946296274	0.836233618673033	0.318397188387532	0.677656913899134	0.479573709756918	0.908616907968848	0.328532095177754	0.608012331864873	0.475890013946939	1.53685160489997	2.80152268359862	1.86768178906574	1.16879308163577	0.779195387757182	0.996054102286666	0.664036068191111	1.38819061772577	0.925460411817177	0.936544427042627	0.624362951361752	2.01274161884691	1.34182774589794
isomerase activity	8	0.584570845232018	2.38653823110278	0.183430232337619	0.287795821323502	0.124959092831102	0.110434853777407	0.291329923625075	0.416332440847037	0.195592891046615	0.315023960153941	0.342994599158388	0.324858360228044	2.9711090763348	1.9807393842232	0.471226053661121	0.314150702440747	0.235393946608508	0.156929297739006	0.707662364472112	0.471774909648075	0.510616851200556	0.340411234133704	0.667852959386432	0.445235306257622
kinase activity	16	0.795902225572258	1.63110003002549	0.209007365799083	0.797950362814175	0.312142027064979	1.42502163520529	0.388841832805925	1.94514955559885	0.352555876377132	1.64928337950528	0.54614646101453	2.28232929928584	2.42700225559775	1.61800150373183	1.00695772861326	0.671305152408839	1.73716366227027	1.15810910818018	2.33399138840478	1.55599425893652	2.00183925588241	1.33455950392161	2.82847576030037	1.88565050686692
ligase activity	3	1.74853143097109	5.54745763614218	0.668533559459643	2.04920545950363	0.489987054129429	0.329472408713065	0.447548020713159	0.688085479730941	0.506150080312264	0.83451149634908	0.68640706663143	0.656720957519987	7.29598906711327	4.86399271140885	2.71773901896327	1.81182601264218	0.819459462842494	0.546306308561663	1.1356335004441	0.757089000296066	1.34066157666134	0.893774384440896	1.34312802415142	0.895418682767612
lipid binding	8	0.326412471669602	0.379743355461691	0.328979196073324	0.378586894440667	0.346327915082023	0.408381884824826	0.444953131225363	0.560744735456026	0.402319702626207	0.431718687054438	0.299634905842138	0.398020400552505	0.706155827131293	0.470770551420862	0.707566090513991	0.471710727009327	0.754709799906849	0.503139866604566	1.00569786668139	0.670465244454259	0.834038389680646	0.556025593120431	0.697655306394643	0.465103537596429
lipid metabolic process	6	0.441421290015439	0.46115103230376	0.499142441471075	0.561402047406769	0.365075871345383	0.40339632274702	0.570084173450203	0.6278842962173	0.716181224800212	0.829065284385781	0.667298125507865	0.759387680961298	0.902572322319199	0.601714881546133	1.06054448887784	0.707029659251896	0.768472194092403	0.512314796061602	1.1979684696675	0.798645646445002	1.54524650918599	1.03016433945733	1.42668580646916	0.951123870979442
locomotion	15	1.00947408061668	1.58326651793811	0.301946975616432	1.38019753919474	0.250961525265203	0.295173740438555	0.747709317103566	1.72186224841433	0.561122822637503	1.49423750098164	0.361049852950419	1.40433212081663	2.59274059855479	1.72849373236986	1.68214451481117	1.12142967654078	0.546135265703759	0.364090177135839	2.4695715655179	1.6463810436786	2.05536032361914	1.3702402157461	1.76538197376705	1.1769213158447
lyase activity	4	0.237917283719452	2.39433502885186	0.492841616516805	0.809869839006957	0.543022611286176	0.562175560106229	0.526699740421693	0.718981919210111	0.422691081565406	0.711417678336796	0.318855804226302	0.361641337966848	2.63225231257132	1.75483487504754	1.30271145552376	0.868474303682508	1.10519817139241	0.73679878092827	1.2456816596318	0.830454439754536	1.1341087599022	0.756072506601468	0.68049714219315	0.4536647614621
membrane organization	10	0.845601293140378	1.16074098376863	0.224272931440472	0.357821601465293	0.303925641711139	0.462928437075399	0.387241588279986	0.496546663340085	0.269950579592272	0.432765421479117	0.421662132543522	2.12650891583138	2.00634227690901	1.33756151793934	0.582094532905765	0.388063021937176	0.766854078786538	0.511236052524359	0.883788251620071	0.589192167746714	0.702716001071389	0.468477334047593	2.5481710483749	1.6987806989166
methyltransferase activity	1	0.290205179613549	0.333481925961311	0.464741460397789	0.450416014543471	0.270638825580143	0.271468533567595	0.480841356059497	0.512065390106772	0.438480708786988	0.447633718651718	0.683666897696441	0.756787513439154	0.62368710557486	0.415791403716573	0.91515747494126	0.610104983294173	0.542107359147738	0.361404906098492	0.992906746166269	0.661937830777513	0.886114427438706	0.590742951625804	1.44045441113559	0.960302940757063
mitochondrion organization	3	0.108036316569833	0.298320372918641	0.230863482229216	0.29251227243787	0.257089745420398	0.256900539197624	0.214709635193222	0.233096432854558	0.377444041435445	0.409784603815835	0.297381713302716	0.333243163042572	0.406356689488474	0.270904459658983	0.523375754667087	0.348917169778058	0.513990284618022	0.342660189745348	0.44780606804778	0.29853737869852	0.78722864525128	0.524819096834187	0.630624876345287	0.420416584230192
mitotic cell cycle	10	1.07486679784925	2.70465952050797	0.351722505589244	3.22695423733649	0.144870173469709	0.207247299491919	0.506544160936756	1.05468474826818	0.273027207232639	0.239989260233028	0.383883289937963	1.17851597720356	3.77952631835722	2.51968421223815	3.57867674292573	2.38578449528382	0.352117472961628	0.234744981974419	1.56122890920494	1.04081927280329	0.513016467465667	0.342010978310445	1.56239926714153	1.04159951142769
mRNA binding	3	0.208817918832766	0.258089549484606	0.0490045615089152	0.321434932576968	0.14768947067168	0.146021672491777	0.220176020499295	0.225577070384325	0.200939070245747	0.530498235139501	0.308796371956085	0.359613352509201	0.466907468317372	0.311271645544915	0.370439494085883	0.246959662723922	0.293711143163457	0.195807428775638	0.44575309088362	0.297168727255747	0.731437305385249	0.487624870256833	0.668409724465286	0.445606482976857
mRNA processing	3	0.444397949420287	0.540050250642946	0.461806335912128	0.533117548918391	0.418200891885249	0.506597663516215	1.12947134957357	1.41975872431704	0.629236516984109	0.787635504945125	0.824292489591592	1.04442035092314	0.984448200063233	0.656298800042155	0.99492388483052	0.663282589887013	0.924798555401465	0.616532370267643	2.54923007389061	1.69948671592707	1.41687202192923	0.944581347952823	1.86871284051473	1.24580856034316
nervous system process	3	2.46281567341275	4.35221571943672	0.181887383070755	2.10827288310594	0.167664417257265	0.998266149160445	0.3329792755681	2.09719761990109	0.155367343170809	0.422590018280388	0.494312611843108	3.77198751360396	6.81503139284946	4.54335426189964	2.2901602661767	1.52677351078447	1.16593056641771	0.777287044278473	2.43017689546919	1.6201179303128	0.577957361451197	0.385304907634131	4.26630012544707	2.84420008363138
nuclease activity	1	1.19873043333383	1.42606956635497	1.21891634459622	1.40776915068885	0.965784244051722	1.22814525597212	2.12025164080303	2.90944404914358	1.48780842115056	1.95650312750719	2.36173880280908	2.97061272957982	2.6247999996888	1.7498666664592	2.62668549528507	1.75112366352338	2.19392950002384	1.46261966668256	5.02969568994661	3.35313045996441	3.44431154865775	2.29620769910517	5.3323515323889	3.5549010215926
nucleobase-containing compound cata...	6	0.379715370781896	0.453552855207578	0.317209212369252	0.361896643791825	0.47203183501299	0.539887818138705	0.433682807917169	0.699709046395871	0.417533735641268	0.595689910776118	0.547352953514383	0.823033235868388	0.833268225989474	0.555512150659649	0.679105856161078	0.452737237440719	1.01191965315169	0.67461310210113	1.13339185431304	0.755594569542026	1.01322364641739	0.675482430944924	1.37038618938277	0.913590792921847
nucleocytoplasmic transport	2	0.0415278698637791	0.0632977511864811	0.30626907508976	0.35963755332602	0.223171068707876	0.244806370591661	0.0532110295680774	0.05580502748552	0.128578919748562	0.148026931283729	0.0967509038069714	0.100809969670598	0.10482562105026	0.0698837473668401	0.66590662841578	0.443937752277187	0.467977439299537	0.311984959533024	0.109016057053597	0.0726773713690649	0.276605851032292	0.184403900688194	0.19756087347757	0.131707248985046
nucleotidyltransferase activity	1	0.251972454610812	0.232899674567719	0.005004153648132	0.0338858682743055	0.148858321889401	0.169977303483802	0.211424430635895	0.21193355726502	0.0420125253781389	0.0598200210930946	0.350458886208185	0.324453354107439	0.484872129178531	0.323248086119021	0.0388900219224375	0.025926681281625	0.318835625373203	0.212557083582135	0.423357987900915	0.28223865860061	0.101832546471233	0.0678883643141557	0.674912240315624	0.449941493543749
oxidoreductase activity	16	0.385299555913197	1.35930417108512	0.50031431810103	0.960589496559479	0.373019437212458	0.506952203580205	0.40562912630284	0.501544518937666	0.456770047455425	0.83241898733223	0.453588930897257	1.15816524254397	1.74460372699832	1.16306915133221	1.46090381466051	0.973935876440339	0.879971640792663	0.586647760528442	0.907173645240506	0.604782430160337	1.28918903478765	0.859459356525103	1.61175417344122	1.07450278229415
peptidase activity	7	0.597226002836778	1.08982543825734	0.273213745764158	0.415689670333633	0.270827147101454	0.276158361425592	0.20537917772428	0.205200678118756	0.133686650435227	0.146995326020056	0.281926839767438	0.211421743269183	1.68705144109412	1.12470096072941	0.688903416097791	0.459268944065194	0.546985508527047	0.364657005684698	0.410579855843036	0.273719903895357	0.280681976455283	0.187121317636855	0.493348583036621	0.328899055357747
phosphatase activity	1	0.148742297502155	0.131539978369527	0.327365687960878	0.381030394069447	0.226860833890674	0.247101583682213	0.328838262614448	0.363411347153239	0.28248951317305	0.279918134869854	0.201274130615833	0.242764299027785	0.280282275871682	0.186854850581121	0.708396082030325	0.472264054686883	0.473962417572887	0.315974945048591	0.692249609767687	0.461499739845125	0.562407648042904	0.374938432028603	0.444038429643618	0.296025619762412
