GO,Clust_Color,Clust_Num,sumsim,semsimsum,term,GOSlim_bin,p.value
GO:0003729,black,1,3.44483582314961,23.4181638276919,mRNA binding,nucleic acid binding activity,0.00486191632244949
GO:0005524,black,1,3.80560812318712,23.4181638276919,ATP binding,other molecular function,0.00062437468338773
GO:0005525,black,1,2.97045897990927,23.4181638276919,GTP binding,other molecular function,0.00191476285448707
GO:0020037,black,1,2.97045897990927,23.4181638276919,heme binding,other molecular function,0.00555302457067064
GO:0030507,black,1,2.81501010880842,23.4181638276919,spectrin binding,cytoskeletal activity,0.00822558888542083
GO:0006744,salmon,6,7.43316097477243,19.3817583053057,ubiquinone biosynthetic process,other metabolic processes,0.00226328927614999
GO:0007017,salmon,6,2.86933358580729,19.3817583053057,microtubule-based process,other biological processes,9.40685707460596e-06
GO:0007369,salmon,6,0.83514914327784,19.3817583053057,gastrulation,developmental processes,0.00181965456287987
GO:0019827,salmon,6,0.83514914327784,19.3817583053057,stem cell population maintenance,other biological processes,0.0058585435491389
GO:0043312,salmon,6,3.70448272908513,19.3817583053057,neutrophil degranulation,transport,0.00146852367231122
GO:0055114,salmon,6,0.83514914327784,19.3817583053057,oxidation-reduction process,other metabolic processes,0.00410546222315758
GO:0061580,salmon,6,2.86933358580729,19.3817583053057,colon epithelial cell migration,NA,0.00107208305129944
GO:0035794,purple,8,5.34676873357454,10.8864006059375,positive regulation of mitochondrial membrane permeability,NA,0.000515630189457933
GO:0044458,purple,8,3.96576515520152,10.8864006059375,motile cilium assembly,NA,0.00660693218017269
GO:0051289,purple,8,1.57386671716146,10.8864006059375,protein homotetramerization,cell organization and biogenesis,0.000479099750569112
GO:0009268,darkslategray1,10,1.47743514776724,4.43230544330172,response to pH,other biological processes,0.00328668878335715
GO:0043627,darkslategray1,10,1.47743514776724,4.43230544330172,response to estrogen,other biological processes,0.00660693218017269
GO:0051597,darkslategray1,10,1.47743514776724,4.43230544330172,response to methylmercury,other biological processes,6.16799929247494e-05
GO:0000212,green4,2,0.83514914327784,1.67029828655568,meiotic spindle organization,cell organization and biogenesis;cell cycle and proliferation,0.00142234519318968
GO:0007283,green4,2,0.83514914327784,1.67029828655568,spermatogenesis,other biological processes,0.00174388860410426
GO:0033365,lightslateblue,9,0.83514914327784,0.83514914327784,protein localization to organelle,other biological processes,0.0044869337769039
