"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-1498 0.0182774502114058 4 6 "GO:0000712" "resolution of meiotic recombination intermediates" 0.422843615331834
-586 0.3992890180628 3 5 "GO:0000722;GO:0006312" "telomere maintenance via recombination" 0.876482078566761
-5 0.986407686039856 4 31 "GO:0000723;GO:0032200" "telomere organization" 0.998604977696594
-128 0.68140587727889 6 25 "GO:0000724;GO:0000725" "recombinational repair" 0.963610436687005
-230 0.593693798065696 2 13 "GO:0000768;GO:0006949;GO:0140253" "syncytium formation by plasma membrane fusion" 0.937013792837542
-20 0.910815081245562 3 80 "GO:0000902" "cell morphogenesis" 0.992765064806299
6 0.976351137364405 4 57 "GO:0000904" "cell morphogenesis involved in differentiation" 0.996485634016242
-390 0.428538383070969 2 10 "GO:0000959" "mitochondrial RNA metabolic process" 0.886542122211041
0 0.999770310703031 2 5 "GO:0000972" "transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery" 0.999777459444812
71 0.675587850216557 3 86 "GO:0001101" "response to acid chemical" 0.962198135287626
417 0.164698528963504 2 27 "GO:0001501" "skeletal system development" 0.773543944752728
-762 0.0503653166449628 2 16 "GO:0001503" "ossification" 0.624917351910192
-470 0.275857580521785 4 13 "GO:0001504;GO:0089718;GO:1902475;GO:0003333;GO:0043090" "amino acid transmembrane transport" 0.848798442853628
-271 0.102386604404124 2 89 "GO:0001505" "regulation of neurotransmitter levels" 0.724340319753737
637 0.278540931552304 3 7 "GO:0001508" "action potential" 0.848798442853628
643 0.0261825934685337 2 29 "GO:0001510" "RNA methylation" 0.477203652708981
1094 0.0348780834518274 3 9 "GO:0001522" "pseudouridine synthesis" 0.544784301279538
25 0.938516913809531 2 24 "GO:0001523;GO:0016101;GO:0006721" "terpenoid metabolic process" 0.994358887847017
-56 0.743856878940735 3 85 "GO:0001525" "angiogenesis" 0.972191552623681
455 0.379760384392677 2 9 "GO:0001541" "ovarian follicle development" 0.87237376016788
-186 0.260621277445426 2 90 "GO:0001558" "regulation of cell growth" 0.838891530614085
-315 0.449363028444841 2 14 "GO:0001568" "blood vessel development" 0.889991966314376
462 0.37281290797096 2 9 "GO:0001570" "vasculogenesis" 0.87237376016788
107 0.67774702164524 3 37 "GO:0001578" "microtubule bundle formation" 0.963610436687005
-80 0.832888206947935 2 17 "GO:0001649" "osteoblast differentiation" 0.982676277590505
245 0.327573434175797 2 39 "GO:0001654" "eye development" 0.868706362819716
557 0.380407517317288 5 6 "GO:0001656" "metanephros development" 0.87237376016788
-748 0.110821426088354 2 11 "GO:0001658" "branching involved in ureteric bud morphogenesis" 0.74018617093381
-244 0.678750758358126 3 7 "GO:0001659" "temperature homeostasis" 0.963610436687005
-676 0.287087356801861 2 6 "GO:0001662;GO:0002209;GO:0042596" "behavioral defense response" 0.853078093317382
-88 0.643704294902739 3 67 "GO:0001666;GO:0036293;GO:0070482" "response to oxygen levels" 0.954615188737427
346 0.107073269257643 2 53 "GO:0001667" "ameboidal-type cell migration" 0.734932694947141
-45 0.900330088965398 2 19 "GO:0001676" "long-chain fatty acid metabolic process" 0.989259150886367
24 0.948463822820839 2 18 "GO:0001678" "cellular glucose homeostasis" 0.995848162381776
-27 0.890351860448231 2 65 "GO:0001701;GO:0043009;GO:0009792;GO:0009790" "embryo development ending in birth or egg hatching" 0.987914984373673
-400 0.528629549447818 4 6 "GO:0001707;GO:0001704" "formation of primary germ layer" 0.911895228828599
-38 0.923064846235782 2 16 "GO:0001708" "cell fate specification" 0.99328594169326
-53 0.869711629714166 2 23 "GO:0001709" "cell fate determination" 0.985500292252112
-413 0.515814607846999 3 6 "GO:0001731" "formation of translation preinitiation complex" 0.907316207695975
-1247 0.00385813262276212 4 13 "GO:0001732" "formation of cytoplasmic translation initiation complex" 0.234394006546722
-259 0.456897108696936 3 20 "GO:0001736;GO:0007164" "establishment of tissue polarity" 0.889991966314376
-23 0.959737261735373 6 12 "GO:0001745" "compound eye morphogenesis" 0.995848162381776
-130 0.852020055404693 2 5 "GO:0001751" "compound eye photoreceptor cell differentiation" 0.983522775732596
3 0.996330329824974 2 6 "GO:0001752;GO:0007464" "compound eye photoreceptor fate commitment" 0.998953064213476
89 0.79912875424952 2 20 "GO:0001756;GO:0035282" "segmentation" 0.977992929138449
268 0.379935752762591 2 26 "GO:0001764" "neuron migration" 0.87237376016788
-99 0.430498233294864 2 157 "GO:0001775;GO:0045321" "cell activation" 0.886542122211041
-382 0.220358940397682 2 25 "GO:0001816" "cytokine production" 0.810938526090533
-207 0.15126301216733 2 119 "GO:0001817" "regulation of cytokine production" 0.761270635338232
-231 0.310231785702522 2 47 "GO:0001818" "negative regulation of cytokine production" 0.861282998314988
-105 0.565327016357712 2 73 "GO:0001819" "positive regulation of cytokine production" 0.928587044180234
191 0.428291296387183 3 42 "GO:0001822" "kidney development" 0.886542122211041
386 0.511948155854462 2 7 "GO:0001824" "blastocyst development" 0.903809120253266
-1225 0.0259045764028305 3 8 "GO:0001825" "blastocyst formation" 0.474819110656427
154 0.824352833898846 2 5 "GO:0001833" "inner cell mass cell proliferation" 0.981650410985964
-1008 0.147054188379919 3 5 "GO:0001835;GO:0035188;GO:0071684" "hatching" 0.756669589431464
-176 0.564982944198854 3 26 "GO:0001837;GO:0048762" "mesenchymal cell differentiation" 0.928587044180234
-403 0.562648353403905 3 5 "GO:0001841" "neural tube formation" 0.926761186147165
-282 0.322504814353107 3 30 "GO:0001843;GO:0060606" "tube closure" 0.864377948375686
-132 0.607448254076953 3 37 "GO:0001889" "liver development" 0.940320569890715
36 0.869707864831232 3 52 "GO:0001894" "tissue homeostasis" 0.985500292252112
-355 0.609369050235301 5 5 "GO:0001910;GO:0001912" "positive regulation of leukocyte mediated cytotoxicity" 0.940983153451554
-84 0.87814575034732 2 8 "GO:0001919" "regulation of receptor recycling" 0.986460169057478
20 0.810877335601671 5 379 "GO:0001932;GO:0042325;GO:0019220;GO:0051174" "regulation of phosphorus metabolic process" 0.980760335505261
-102 0.45718697047678 5 131 "GO:0001933;GO:0042326" "negative regulation of phosphorylation" 0.889991966314376
-329 0.321726691719829 6 22 "GO:0001936" "regulation of endothelial cell proliferation" 0.864377948375686
-692 0.140059577886215 4 11 "GO:0001937" "negative regulation of endothelial cell proliferation" 0.754527032390027
35 0.939784473092437 4 11 "GO:0001938" "positive regulation of endothelial cell proliferation" 0.994358887847017
-634 0.127278717142556 2 14 "GO:0001942" "hair follicle development" 0.749224547190351
68 0.82955082829231 5 24 "GO:0001947;GO:0003143" "embryonic heart tube morphogenesis" 0.982676277590505
276 0.275934626200817 2 38 "GO:0001952" "regulation of cell-matrix adhesion" 0.848798442853628
75 0.842168602969934 4 17 "GO:0001953" "negative regulation of cell-matrix adhesion" 0.982676277590505
354 0.43117293337417 2 12 "GO:0001954" "positive regulation of cell-matrix adhesion" 0.886542122211041
94 0.746346375658084 2 29 "GO:0001959" "regulation of cytokine-mediated signaling pathway" 0.972191552623681
-361 0.368918778828419 2 15 "GO:0001961" "positive regulation of cytokine-mediated signaling pathway" 0.87237376016788
-1340 0.0540488215873786 3 5 "GO:0001974" "blood vessel remodeling" 0.626700781048411
-163 0.229635605467915 3 135 "GO:0002009;GO:0035239" "tube morphogenesis" 0.811934167082376
-980 0.0185224006434454 5 14 "GO:0002011" "morphogenesis of an epithelial sheet" 0.423782017558545
718 0.125718671422498 3 11 "GO:0002027" "regulation of heart rate" 0.749224547190351
51 0.898731449720694 7 15 "GO:0002028;GO:1902305" "regulation of sodium ion transport" 0.988849814733615
-629 0.0642263675808165 2 21 "GO:0002040" "sprouting angiogenesis" 0.645716496873297
353 0.547803190096825 3 7 "GO:0002052;GO:0007440;GO:0046533" "positive regulation of neuroblast proliferation" 0.922233617349568
1400 0.0109284253526064 2 8 "GO:0002062" "chondrocyte differentiation" 0.33576285892865
168 0.429035125404253 2 54 "GO:0002064" "epithelial cell development" 0.886542122211041
-279 0.611776752243993 2 8 "GO:0002065" "columnar/cuboidal epithelial cell differentiation" 0.941792254398205
510 0.164731770007788 2 18 "GO:0002066" "columnar/cuboidal epithelial cell development" 0.773543944752728
-118 0.852284349667155 3 6 "GO:0002088" "lens development in camera-type eye" 0.983522775732596
42 0.922147291197474 2 13 "GO:0002090" "regulation of receptor internalization" 0.99328594169326
-327 0.578019265433142 3 7 "GO:0002092" "positive regulation of receptor internalization" 0.933946155982855
-132 0.83583041663213 9 6 "GO:0002098;GO:0002097" "tRNA wobble uridine modification" 0.982676277590505
649 0.269468692184791 2 7 "GO:0002119;GO:0002164" "larval development" 0.848103415598181
-202 0.771241323131357 5 5 "GO:0002175;GO:0071205" "protein localization to paranode region of axon" 0.975778147430469
53 0.861182328188802 6 26 "GO:0002181" "cytoplasmic translation" 0.985101548950536
-208 0.723474109187777 2 7 "GO:0002183" "cytoplasmic translational initiation" 0.972191552623681
66 0.899053804317531 2 9 "GO:0002220" "innate immune response activating cell surface receptor signaling pathway" 0.98886722561485
-525 0.0274746039693726 2 43 "GO:0002221;GO:0002758;GO:0002218" "activation of innate immune response" 0.482662325103923
-245 0.70012209767002 3 6 "GO:0002223" "stimulatory C-type lectin receptor signaling pathway" 0.969463186845559
-426 0.289280387933913 7 15 "GO:0002224" "toll-like receptor signaling pathway" 0.854274586950995
-136 0.695604069989675 2 20 "GO:0002230;GO:0050691" "regulation of defense response to virus by host" 0.967911816785234
-49 0.869745191836459 2 27 "GO:0002244" "hematopoietic progenitor cell differentiation" 0.985500292252112
-574 0.0912796085468127 2 21 "GO:0002250" "adaptive immune response" 0.703125909579173
-4 0.971382239929582 2 178 "GO:0002252" "immune effector process" 0.996310206332766
-204 0.246156136494758 2 79 "GO:0002253;GO:0002757;GO:0002764" "activation of immune response" 0.83035476669948
-20 0.969009014958659 5 9 "GO:0002260;GO:0001776" "lymphocyte homeostasis" 0.995848162381776
-177 0.283296312071086 3 90 "GO:0002275;GO:0002274;GO:0002366;GO:0002263" "cell activation involved in immune response" 0.850262359837112
548 0.243093625730038 3 11 "GO:0002285" "lymphocyte activation involved in immune response" 0.827236325532809
357 0.516692411788108 5 8 "GO:0002312" "B cell activation involved in immune response" 0.90737831718078
230 0.71674206853955 2 6 "GO:0002335" "mature B cell differentiation" 0.972191552623681
-78 0.332031717443987 1 406 "GO:0002376" "immune system process" 0.870805286348269
256 0.281860352226703 6 43 "GO:0002429;GO:0002768" "immune response-regulating cell surface receptor signaling pathway" 0.850262359837112
-177 0.798902701818134 2 5 "GO:0002440" "production of molecular mediator of immune response" 0.977992929138449
-413 0.425708269366487 3 9 "GO:0002443" "leukocyte mediated immunity" 0.886542122211041
-1062 0.053537483779645 2 8 "GO:0002449;GO:0002460" "adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains" 0.626700781048411
122 0.835564027206545 2 7 "GO:0002520" "immune system development" 0.982676277590505
236 0.345665948708249 2 39 "GO:0002521" "leukocyte differentiation" 0.871018469660137
628 0.366801210608482 6 5 "GO:0002562;GO:0016444" "somatic cell DNA recombination" 0.87237376016788
434 0.377273474620988 2 10 "GO:0002573" "myeloid leukocyte differentiation" 0.87237376016788
-31 0.921297715246082 5 25 "GO:0002576" "platelet degranulation" 0.99328594169326
-561 0.193921122709432 3 13 "GO:0002637" "regulation of immunoglobulin production" 0.804445396885055
145 0.819856648313506 2 6 "GO:0002638;GO:0002701" "negative regulation of production of molecular mediator of immune response" 0.981650410985964
-18 0.850107199730316 3 296 "GO:0002682" "regulation of immune system process" 0.983522775732596
-114 0.473418851775278 2 97 "GO:0002683" "negative regulation of immune system process" 0.892819840153365
38 0.757428337878904 2 165 "GO:0002684" "positive regulation of immune system process" 0.972191552623681
177 0.53454161464318 3 30 "GO:0002685" "regulation of leukocyte migration" 0.914092786140353
-571 0.368674319772117 2 6 "GO:0002686" "negative regulation of leukocyte migration" 0.87237376016788
59 0.841486553782433 2 28 "GO:0002688;GO:0002690;GO:0002687;GO:0050921" "positive regulation of chemotaxis" 0.982676277590505
223 0.217303517138356 2 75 "GO:0002694;GO:0050865" "regulation of cell activation" 0.810938526090533
9 0.959774155528864 2 85 "GO:0002697" "regulation of immune effector process" 0.995848162381776
-23 0.946390513806784 2 20 "GO:0002698" "negative regulation of immune effector process" 0.995061668578085
-51 0.823175941926069 2 46 "GO:0002699" "positive regulation of immune effector process" 0.981650410985964
-538 0.050972600607143 2 32 "GO:0002700" "regulation of production of molecular mediator of immune response" 0.62523805915834
-738 0.0299367189402242 4 21 "GO:0002702" "positive regulation of production of molecular mediator of immune response" 0.50563275026787
79 0.771411024230665 3 33 "GO:0002703" "regulation of leukocyte mediated immunity" 0.975778147430469
-322 0.310709953513121 2 24 "GO:0002705" "positive regulation of leukocyte mediated immunity" 0.861282998314988
-195 0.638500803406076 6 14 "GO:0002706" "regulation of lymphocyte mediated immunity" 0.953612773975926
-590 0.188671930781585 4 12 "GO:0002708;GO:0002824;GO:0002821" "positive regulation of lymphocyte mediated immunity" 0.800815080667849
416 0.479169385201338 8 7 "GO:0002711;GO:0002709" "regulation of T cell mediated immunity" 0.893770874679203
-818 0.0354694936056644 5 16 "GO:0002718;GO:0002720" "regulation of cytokine production involved in immune response" 0.547486059195566
-996 0.0166225357494423 8 14 "GO:0002735;GO:0002732;GO:0002733;GO:0061081;GO:0002730;GO:0009597;GO:0032725;GO:0032645;GO:0039529" "positive regulation of myeloid leukocyte cytokine production involved in immune response" 0.409345804028251
-725 0.0624717795681748 7 16 "GO:0002753;GO:0039528" "cytoplasmic pattern recognition receptor signaling pathway" 0.645432445484496
-896 0.19756540678544 2 5 "GO:0002755" "MyD88-dependent toll-like receptor signaling pathway" 0.804445396885055
212 0.718555649103355 2 7 "GO:0002759" "regulation of antimicrobial humoral response" 0.972191552623681
676 0.033547914377515 4 24 "GO:0002761" "regulation of myeloid leukocyte differentiation" 0.535843335475894
163 0.728575236107164 2 11 "GO:0002762" "negative regulation of myeloid leukocyte differentiation" 0.972191552623681
752 0.126336327122368 4 10 "GO:0002763" "positive regulation of myeloid leukocyte differentiation" 0.749224547190351
-221 0.220640473387506 2 75 "GO:0002793;GO:0050714" "positive regulation of peptide secretion" 0.810938526090533
177 0.798680355176912 5 5 "GO:0002805;GO:0002784" "regulation of antimicrobial peptide production" 0.977992929138449
-36 0.923548067896319 4 17 "GO:0002822;GO:0002819" "regulation of adaptive immune response" 0.99328594169326
-180 0.526973764711317 2 30 "GO:0002832" "negative regulation of response to biotic stimulus" 0.911895228828599
259 0.481049288309097 4 18 "GO:0002886" "regulation of myeloid leukocyte mediated immunity" 0.893770874679203
-172 0.690978469224664 5 13 "GO:0002888" "positive regulation of myeloid leukocyte mediated immunity" 0.967133082814301
-509 0.464658813081871 7 5 "GO:0002889;GO:0002712" "regulation of B cell mediated immunity" 0.889991966314376
-23 0.974279254713444 2 5 "GO:0002902" "regulation of B cell apoptotic process" 0.996485634016242
-690 0.109850653665273 5 13 "GO:0002920" "regulation of humoral immune response" 0.736753032690584
-92 0.851937716277374 2 10 "GO:0002931" "response to ischemia" 0.983522775732596
34 0.837504704715288 3 87 "GO:0003002" "regionalization" 0.982676277590505
-80 0.510476224981317 2 169 "GO:0003006" "developmental process involved in reproduction" 0.903809120253266
-732 0.0459538664932197 4 18 "GO:0003007" "heart morphogenesis" 0.605090503294395
-118 0.217001931837475 2 280 "GO:0003008" "system process" 0.810938526090533
-617 0.00523316660327214 3 50 "GO:0003013" "circulatory system process" 0.242637317754069
-236 0.631295090660422 3 10 "GO:0003014" "renal system process" 0.950330360462213
-400 0.199073405467262 4 25 "GO:0003018;GO:0097746;GO:0035296" "vascular process in circulatory system" 0.804445396885055
14 0.974772270150597 2 13 "GO:0003073" "regulation of systemic arterial blood pressure" 0.996485634016242
-169 0.789757131580299 5 6 "GO:0003139;GO:0003128;GO:0010092" "specification of animal organ identity" 0.975778147430469
-142 0.809814426041281 2 7 "GO:0003148" "outflow tract septum morphogenesis" 0.980760335505261
-399 0.497031360812128 2 7 "GO:0003151" "outflow tract morphogenesis" 0.894741847740145
136 0.830702906109433 2 6 "GO:0003179;GO:0003184" "heart valve morphogenesis" 0.982676277590505
806 0.142666651148526 3 8 "GO:0003190;GO:0003188;GO:0060973;GO:1901201" "cell migration involved in heart development" 0.754527032390027
-527 0.337806900245064 2 8 "GO:0003208;GO:0003206" "cardiac chamber morphogenesis" 0.871018469660137
268 0.672486264060832 3 6 "GO:0003209;GO:0003222;GO:0061384;GO:0061383" "cardiac atrium morphogenesis" 0.962025435846265
-166 0.794010081915324 4 6 "GO:0003254" "regulation of membrane depolarization" 0.976544614662156
25 0.951465930296755 2 14 "GO:0003279" "cardiac septum development" 0.995848162381776
-516 0.416056631081534 4 6 "GO:0003281" "ventricular septum development" 0.88593973060662
-45 0.89344190307188 4 22 "GO:0003300;GO:0014896;GO:0014897;GO:0035995;GO:0035994;GO:0048739;GO:0055003" "muscle hypertrophy" 0.988076078736176
1110 0.110367655821955 3 5 "GO:0003334" "keratinocyte development" 0.738684766974329
2 0.993275615955944 3 52 "GO:0003341" "cilium movement" 0.998953064213476
-961 0.0507812733349161 2 10 "GO:0003344" "pericardium morphogenesis" 0.62523805915834
95 0.812416354609656 2 15 "GO:0003351;GO:0006858" "extracellular transport" 0.980760335505261
458 0.376624223796823 3 9 "GO:0003352" "regulation of cilium movement" 0.87237376016788
632 0.363600010966508 2 5 "GO:0003356" "regulation of cilium beat frequency" 0.87237376016788
54 0.897318333368751 2 14 "GO:0003382" "epithelial cell morphogenesis" 0.988849814733615
-901 0.155955066145132 5 6 "GO:0003383" "apical constriction" 0.766898234229866
-625 0.182744390431438 3 11 "GO:0003401;GO:0021794;GO:0034392;GO:0030917;GO:0035261;GO:0044335;GO:0044340;GO:0048596;GO:0060026;GO:0060059;GO:0060535;GO:0090009;GO:0090118;GO:0090244;GO:0090245" "thalamus development" 0.800815080667849
208 0.617853672406047 3 14 "GO:0003429;GO:0003414;GO:0003422;GO:0090171" "growth plate cartilage chondrocyte morphogenesis" 0.943113706176472
-335 0.00116402957115723 2 237 "GO:0005975" "carbohydrate metabolic process" 0.125171979885107
-485 0.0440450674434294 2 42 "GO:0005976" "polysaccharide metabolic process" 0.60294041513032
-511 0.163603506355476 5 18 "GO:0005977;GO:0006112" "energy reserve metabolic process" 0.773543944752728
-962 0.101892694579988 3 7 "GO:0005980" "glycogen catabolic process" 0.724021657962646
73 0.881415755388876 2 10 "GO:0006000" "fructose metabolic process" 0.986622910091781
-1247 0.0729933788034301 2 5 "GO:0006002" "fructose 6-phosphate metabolic process" 0.668880532079341
424 0.307932436731987 4 14 "GO:0006004" "fucose metabolic process" 0.861282998314988
-584 0.00597070798595424 3 54 "GO:0006006" "glucose metabolic process" 0.250149402112836
-1482 0.0117256444840454 2 7 "GO:0006007" "glucose catabolic process" 0.350249343569726
-593 0.252504953126648 3 9 "GO:0006013" "mannose metabolic process" 0.832114898678971
-489 0.441349080177107 3 6 "GO:0006020" "inositol metabolic process" 0.889991966314376
167 0.483478521525074 3 43 "GO:0006022" "aminoglycan metabolic process" 0.893770874679203
-51 0.906557114014764 4 13 "GO:0006023" "aminoglycan biosynthetic process" 0.991924997586119
463 0.466373485746082 2 6 "GO:0006024" "glycosaminoglycan biosynthetic process" 0.889991966314376
132 0.67253632214702 2 25 "GO:0006026" "aminoglycan catabolic process" 0.962025435846265
281 0.49932493852743 3 14 "GO:0006027" "glycosaminoglycan catabolic process" 0.894741847740145
-150 0.674849213056447 2 19 "GO:0006030" "chitin metabolic process" 0.962025435846265
-611 0.238802228731788 3 9 "GO:0006031;GO:0061063;GO:0048582;GO:0061062" "regulation of nematode larval development" 0.822497464382836
-58 0.933925185893073 2 5 "GO:0006041" "glucosamine metabolic process" 0.994151563136106
234 0.712035355699575 4 6 "GO:0006044" "N-acetylglucosamine metabolic process" 0.971303780662674
-334 0.599419040502253 5 6 "GO:0006047;GO:0006048" "UDP-N-acetylglucosamine metabolic process" 0.939105769824586
-181 0.221553090409418 2 112 "GO:0006066" "alcohol metabolic process" 0.811271588718255
174 0.736847655495453 2 9 "GO:0006067;GO:0006068" "ethanol metabolic process" 0.972191552623681
-661 0.158932769669112 2 11 "GO:0006071" "glycerol metabolic process" 0.772769614232157
67 0.923173186639959 5 5 "GO:0006072;GO:0052646" "glycerol-3-phosphate metabolic process" 0.99328594169326
-590 0.0692719854551935 3 23 "GO:0006073;GO:0044042" "cellular glucan metabolic process" 0.661158062362291
-605 0.0520672012660996 3 25 "GO:0006081" "cellular aldehyde metabolic process" 0.626700781048411
-1296 0.000285357441575732 2 19 "GO:0006084" "acetyl-CoA metabolic process" 0.0556025849870355
-1245 0.0163386142872472 4 9 "GO:0006085" "acetyl-CoA biosynthetic process" 0.409345804028251
-1412 0.00411583879703401 2 10 "GO:0006089" "lactate metabolic process" 0.234394006546722
-528 0.000330002996476913 3 114 "GO:0006091" "generation of precursor metabolites and energy" 0.0589637936773184
-543 0.150368707702276 2 17 "GO:0006094;GO:0019319" "hexose biosynthetic process" 0.759362256104098
-647 0.00494213262833615 4 46 "GO:0006096;GO:0006090;GO:0006757;GO:0046031;GO:0009179;GO:0009135;GO:0009185" "pyruvate metabolic process" 0.241565452409279
-262 0.613361911497405 3 9 "GO:0006098;GO:0051156" "glucose 6-phosphate metabolic process" 0.941792254398205
-414 0.159603083205995 2 28 "GO:0006099" "tricarboxylic acid cycle" 0.772769614232157
-607 0.338944404833539 6 6 "GO:0006102" "isocitrate metabolic process" 0.871018469660137
-1431 0.00058337115399176 2 14 "GO:0006103" "2-oxoglutarate metabolic process" 0.089616921084639
-1869 0.00718476831502175 2 5 "GO:0006104" "succinyl-CoA metabolic process" 0.282189888333121
-624 0.3695590355902 2 5 "GO:0006105" "succinate metabolic process" 0.87237376016788
